Account,Followers 1/22,Following 1/22,Followers 7/21,Following 7/21,Followers 1/21,Following 1/21,Followers 7/20,Following 7/20,Followers 1/20,Following 1/20,Followers 7/19,Following 7/19,Followers 1/19,Following 1/19,Followers 7/18,Following 7/18,Followers 1/18,Following 1/18
HillaryClinton,31096132,949,30871742,937,30139140,892,0,0,0,0,0,0,0,0,0,0,0,0
BarackObama,130495176,587363,129682721,590721,127555098,597329,120289534,604038,111112747,609919,106838347,613544,103914547,617064,0,0,0,0
BernieSanders,15423887,1473,15268202,1435,14154430,1477,0,0,0,0,0,0,0,0,0,0,0,0
AOC,12843904,3552,12745695,3315,11055409,2975,0,0,0,0,0,0,0,0,0,0,0,0
KamalaHarris,19115472,733,18603544,733,13600625,737,0,0,0,0,0,0,0,0,0,0,0,0
JoeBiden,31997290,48,30664937,47,22110668,45,0,0,0,0,0,0,0,0,0,0,0,0
SenSchumer,3352968,24323,3262302,24459,2831143,24757,0,0,0,0,0,0,0,0,0,0,0,0
SpeakerPelosi,7297145,430,7112334,361,6180357,359,0,0,0,0,0,0,0,0,0,0,0,0
EWarren,5834487,561,5735289,560,5395519,559,0,0,0,0,0,0,0,0,0,0,0,0
PeteButtigieg,3583203,2798,3499458,2787,3061385,2768,1928002,2660,1571761,2599,0,0,0,0,0,0,0,0
RepAdamSchiff,3053470,856,2946798,795,2743692,784,2342017,781,1794868,778,0,0,0,0,0,0,0,0
CoryBooker,4910064,87972,4914322,88575,4806530,89995,4498260,91101,4412979,92048,0,0,0,0,0,0,0,0
GavinNewsom,1989780,22584,1961438,22683,1978450,22901,0,0,0,0,0,0,0,0,0,0,0,0
AmyKlobuchar,1826201,133798,1723588,134554,1371358,135921,0,0,0,0,0,0,0,0,0,0,0,0
SenSherrodBrown,508767,330,501688,316,478283,251,0,0,0,0,0,0,0,0,0,0,0,0
ChrisMurphyCT,1059020,231,1036597,226,1000439,210,0,0,0,0,0,0,0,0,0,0,0,0
RBReich,1437706,552,1361056,514,1171802,487,0,0,0,0,0,0,0,0,0,0,0,0
SenGillibrand,1605429,1085,1609235,1087,1606123,1088,0,0,0,0,0,0,0,0,0,0,0,0
SenDuckworth,769108,7429,762886,7442,722518,7353,0,0,0,0,0,0,0,0,0,0,0,0
RepMaxineWaters,1687856,693,1672694,692,1602890,692,1400683,691,1203350,675,1078365,670,928309,664,796042,663,647344,654
MarcoRubio,4225375,2536,4190954,2496,4290607,2578,0,0,0,0,0,0,0,0,0,0,0,0
SenTedCruz,2317935,5577,2153026,5661,1944744,6484,0,0,0,0,0,0,0,0,0,0,0,0
Jim_Jordan,2263401,3787,2049115,3799,2015198,3981,0,0,0,0,0,0,0,0,0,0,0,0
GOPLeader,1386577,1422,1277685,1424,1245878,1393,0,0,0,0,0,0,0,0,0,0,0,0
LindseyGrahamSC,2011494,2038,1979508,2051,2075715,2117,0,0,0,0,0,0,0,0,0,0,0,0
GovRonDeSantis,1460813,1169,1030795,1176,665076,1290,0,0,0,0,0,0,0,0,0,0,0,0
HawleyMO,705966,955,647011,954,493339,990,0,0,0,0,0,0,0,0,0,0,0,0
MarshaBlackburn,389141,2068,319804,2150,313231,2282,0,0,0,0,0,0,0,0,0,0,0,0
SenTomCotton,445966,360,393649,360,391781,350,0,0,0,0,0,0,0,0,0,0,0,0
SenJohnKennedy,250071,1302,210938,1316,181835,1334,138231,1337,97774,1337,0,0,0,0,0,0,0,0
ChuckGrassley,671205,12829,646711,12902,690292,13236,0,0,0,0,0,0,0,0,0,0,0,0
RandPaul,3467398,528,3216134,522,3124138,504,0,0,0,0,0,0,0,0,0,0,0,0
SenRickScott,364291,1519,351050,1535,356163,2730,0,0,0,0,0,0,0,0,0,0,0,0
SenMikeLee,609873,2150,597909,2161,617536,2272,0,0,0,0,0,0,0,0,0,0,0,0
SenJoniErnst,122767,161,114415,161,117196,158,0,0,0,0,0,0,0,0,0,0,0,0
LeaderMcConnell,2107315,109,2094820,109,2161343,106,1704337,105,1190857,104,0,0,0,0,0,0,0,0
RepMattGaetz,1457955,757,1440298,751,1419515,744,0,0,0,0,0,0,0,0,0,0,0,0
JohnCornyn,321898,12391,307092,12150,311836,12186,0,0,0,0,0,0,0,0,0,0,0,0
DonaldJTrumpJr,7233265,1572,6871174,1529,6587739,1500,0,0,0,0,0,0,0,0,0,0,0,0
SenatorRomney,199184,137,199520,137,146090,117,130317,114,100643,115,0,0,0,0,0,0,0,0
