ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
HillaryClinton,1339835893,1352056013239836679,A highlight of an already very good day. https://t.co/9Zrb3r0Upr,2021-01-21 00:50:48+00:00,False,14442,2957,290773,604,en,False,Twitter Web App,41,64,https://t.co/9Zrb3r0Upr,https://twitter.com/meena/status/1352028800436097027,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351972735598145536,Wasn't @TheAmandaGorman’s poem just stunning? She's promised to run for president in 2036 and I for one can't wait. https://t.co/rahEClc6k2,2021-01-20 19:19:53+00:00,False,31485,5998,505270,1932,en,False,Twitter Web App,116,139,https://t.co/rahEClc6k2,https://twitter.com/HillaryClinton/status/1351972735598145536/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351968752225685512,Honored to witness history today. May God bless @JoeBiden and @KamalaHarris as they take on the work of healing our nation. May we all fulfill our duty as citizens to help our country and our fellow Americans through the challenges ahead. https://t.co/dooSLnFePe,2021-01-20 19:04:03+00:00,False,15610,5843,280701,1074,en,False,Twitter Web App,239,262,https://t.co/dooSLnFePe,https://twitter.com/HillaryClinton/status/1351968752225685512/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351897263803654145,"It delights me to think that what feels historical and amazing to us today—a woman sworn in to the vice presidency—will seem normal, obvious, ""of course"" to Kamala's grand-nieces as they grow up. And they will be right. https://t.co/1gQOvmNipB",2021-01-20 14:19:59+00:00,False,26252,3038,259003,1315,en,False,Twitter Web App,220,243,https://t.co/1gQOvmNipB,https://twitter.com/HillaryClinton/status/1351897263803654145/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351892200343412736,So excited to call these two wonderful people “Mr. President” and “Dr. Biden.” https://t.co/m4Ed9gJDRp,2021-01-20 13:59:52+00:00,False,18563,3794,319583,1189,en,False,Twitter Web App,79,102,https://t.co/m4Ed9gJDRp,https://twitter.com/HillaryClinton/status/1351892200343412736/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351603554402918402,"Congratulations to Jen Klein, who's long been by my side on domestic and global women's issues, and Julissa Reynoso, a dynamo who served with me in the State Department. 

Great to have this team on the front lines fighting for women and girls everywhere. https://t.co/m88WlNc5Va",2021-01-19 18:52:53+00:00,False,1259,331,9395,44,en,False,Twitter Web App,256,279,https://t.co/m88WlNc5Va,https://twitter.com/evanmcmurry/status/1351587927688679427,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351587369519087617,"Today, our country is expected to mark 400,000 people confirmed lost to COVID-19. 

Tonight, President-elect @JoeBiden will lead us in a moment of national mourning to honor their lives and their memories. https://t.co/vfYsNhZTVB https://t.co/ZvPESxLctY",2021-01-19 17:48:34+00:00,False,2392,784,14120,114,en,False,Twitter Web App,206,229,https://t.co/vfYsNhZTVB,https://bideninaugural.org/covidmemorial/,230,253,https://t.co/ZvPESxLctY,https://twitter.com/HillaryClinton/status/1351587369519087617/photo/1,NA,NA,NA,NA
HillaryClinton,1339835893,1351576917233827846,"If you've ever wanted to do more to serve your community, I think you should consider running to join your school board, city council, or county clerk's office.

National Run For Office Day is a great day to take the first step—&amp; ask a friend to join you. https://t.co/A3kivHEVZl",2021-01-19 17:07:02+00:00,False,1004,392,4635,102,en,False,Twitter Web App,260,283,https://t.co/A3kivHEVZl,http://www.runforofficeday.com,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351564866398658561,"Let's just sit with this for a moment and what it means. 

Tomorrow, Kamala Devi Harris will be the first woman sworn in as vice president of the United States. https://t.co/VuPzo0FfGi",2021-01-19 16:19:09+00:00,False,41670,11018,404844,3951,en,False,Twitter Web App,161,184,https://t.co/VuPzo0FfGi,https://twitter.com/HillaryClinton/status/1351564866398658561/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351297926769872899,".@SpeakerPelosi and I agree:

Congress needs to establish an investigative body like the 9/11 Commission to determine Trump's ties to Putin so we can repair the damage to our national security and prevent a puppet from occupying the presidency ever again. https://t.co/yR7LQmXm5Z",2021-01-18 22:38:26+00:00,False,9248,12309,41988,4048,en,False,Twitter Web App,256,279,https://t.co/yR7LQmXm5Z,https://twitter.com/HillaryClinton/status/1351297926769872899/video/1,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1351198931154333702,"I had a no-holds-barred conversation with @SpeakerPelosi about her experience of the Capitol insurrection and what comes next for our country. 

Listen to a special edition of ""You And Me Both"" wherever you get your podcasts. https://t.co/YjtiZOQltz https://t.co/HGz7WBXlHO",2021-01-18 16:05:03+00:00,False,2717,1108,13464,253,en,False,Twitter Web App,226,249,https://t.co/YjtiZOQltz,https://www.iheart.com/podcast/1119-you-me-hillary-clinton-71671764/episode/bonus-episode-house-speaker-nancy-pelosi-76369703/,250,273,https://t.co/HGz7WBXlHO,https://twitter.com/HillaryClinton/status/1351198931154333702/video/1,NA,NA,NA,NA
HillaryClinton,1339835893,1350117139643031554,"It was never just ""like the flu."" https://t.co/jTCna6kN7J",2021-01-15 16:26:24+00:00,False,5084,1697,33112,200,en,False,Twitter Web App,34,57,https://t.co/jTCna6kN7J,https://twitter.com/COVID19Tracking/status/1349876220549189633,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1350104396764491777,"Americans have had to wait far too long for help. 

Finally, it's on the way. https://t.co/ZmmM7gKjWX",2021-01-15 15:35:46+00:00,False,2190,1706,17700,176,en,False,Twitter Web App,78,101,https://t.co/ZmmM7gKjWX,https://www.washingtonpost.com/us-policy/2021/01/14/biden-stimulus-covid-relief/,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1349388001453998083,"Democracy is fragile. We, the people, are its stewards. And we have a lot of work to do to protect it from those who attack it.

Let's encourage our representatives to pass the John Lewis Voting Rights Act as a first step to safeguard access to the ballot. #DemocracyAgenda",2021-01-13 16:09:04+00:00,False,11849,2707,83545,447,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1349095220827348993,Thinking about the children in Flint. https://t.co/s8TzZahovT,2021-01-12 20:45:40+00:00,False,3269,2960,30488,1171,en,False,Twitter Web App,38,61,https://t.co/s8TzZahovT,https://twitter.com/AP/status/1349078262694223874,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1349079557677215746,"If you haven't seen #TheDissident, I hope that you will. This incredibly powerful documentary about the assassination of journalist Jamal Khashoggi at the hands of the Saudi government is available to watch now: https://t.co/FMB43ngyoc",2021-01-12 19:43:25+00:00,False,3582,5388,13226,1648,en,False,Twitter Web App,212,235,https://t.co/FMB43ngyoc,http://apple.co/3r57zaB,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1349047439668469762,"Congratulations to @Schriock1 and @creynoldsnc on their new book, which somehow manages to fit years of invaluable wisdom and advice into one volume. Get this for a woman in your life who's only begun to run and win. https://t.co/yLrBYmPMiB https://t.co/WKFcmeP91I",2021-01-12 17:35:48+00:00,False,355,173,2370,26,en,False,Twitter Web App,217,240,https://t.co/yLrBYmPMiB,https://www.amazon.com/Run-Win-Lessons-Leadership-Changing/dp/1524746800,241,264,https://t.co/WKFcmeP91I,https://twitter.com/HillaryClinton/status/1349047439668469762/photo/1,NA,NA,NA,NA
HillaryClinton,1339835893,1349030330251022336,"I worked with Ambassador Bill Burns for years at the State Department, where he was an architect of the Iran Deal on top of decades of public service. 

As President-elect Biden's choice to head the CIA, he'll protect our security at home and abroad with honor and integrity. https://t.co/K5UoGI8Qx7",2021-01-12 16:27:49+00:00,False,1749,914,16521,147,en,False,Twitter Web App,276,299,https://t.co/K5UoGI8Qx7,https://twitter.com/HillaryClinton/status/1349030330251022336/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1349021664445685773,"Here's how elected Republicans and conservative media can begin the healing and unifying process: 

Accurately state that Joe Biden was duly elected president in a free and fair election. 

Urge Trump supporters to refrain from further violence. 

For a start.",2021-01-12 15:53:23+00:00,False,20711,11886,139267,2287,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1348715001792634880,"The attack on the Capitol makes it even more important that the Senate continue the long-standing tradition of confirming the President-elect’s national security team on day one. 

https://t.co/jGQcWYWmPm",2021-01-11 19:34:48+00:00,False,3239,970,18909,116,en,False,Twitter Web App,181,204,https://t.co/jGQcWYWmPm,https://www.nytimes.com/2021/01/09/us/politics/former-officials-warn-senate-confirmations-of-bidens-national-security-picks-are-needed-quickly.html,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,1339835893,1348676058984427523,"For the good of our country, we need more women to step up as leaders. 

Join @schriock1 and me tomorrow to talk about her new guide to running and winning—within the political arena and without. 

https://t.co/DBXSw0qrsc https://t.co/RxRaBulX3V",2021-01-11 17:00:04+00:00,False,893,544,6376,69,en,False,Twitter Web App,198,221,https://t.co/DBXSw0qrsc,https://www.eventbrite.com/e/pp-live-stephanie-schriock-run-to-win-with-hillary-rodham-clinton-tickets-133275605925,222,245,https://t.co/RxRaBulX3V,https://twitter.com/HillaryClinton/status/1348676058984427523/photo/1,NA,NA,NA,NA
