ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
RepAdamSchiff,29501253,1312447588197560320,"It’s clear that that the pace of recovery is slowing.
 
Americans and small businesses need help, because this pandemic isn’t over.
 
The House passed yet another relief bill to send stimulus payments, extend unemployment, and more.
 
Let’s get it done, @senatemajldr. https://t.co/yDCro07Lx2",2020-10-03 17:41:03+00:00,False,1677,539,5486,85,en,False,Twitter for iPhone,269,292,https://t.co/yDCro07Lx2,https://twitter.com/NPR/status/1312011150389850113,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1312070660903047170,"There was a time when members of both parties took seriously issues of politicization of intelligence.

Sadly, that time has passed.

But if intelligence is being withheld or altered to benefit Trump, it is damaging to our national security.

And we will expose it. https://t.co/horliNdNFF",2020-10-02 16:43:17+00:00,False,4036,1212,13517,200,en,False,Twitter Media Studio,266,289,https://t.co/horliNdNFF,https://twitter.com/RepAdamSchiff/status/1312070660903047170/video/1,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1312007740886323200,"Wishing the President, the First Lady, and their staff a speedy recovery.

This virus is deadly serious and cases are once again rising across the U.S. 

We all need to be careful, be safe and wear masks to protect all of us and save lives.",2020-10-02 12:33:16+00:00,False,2642,1227,17984,206,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1311792300301987841,"I organized an effort in the House with 49 bipartisan members to urge @StateDept to call on Azerbaijan and Turkey to cease hostilities against Armenia and Artsakh.
 
We must prevent further loss of life, and bring about an immediate end to the fighting.

https://t.co/Piqlx0FU4O",2020-10-01 22:17:10+00:00,False,2250,1247,3638,551,en,False,Twitter Web App,255,278,https://t.co/Piqlx0FU4O,https://schiff.house.gov/news/press-releases/-schiff-pallone-speier-and-46-bipartisan-members-urge-secretary-of-state_to-help-reduce-tensions-between-armenia-and-azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1311343417021136897,".@HouseIntel spent two years examining whether our intelligence apparatus is well-positioned to confront the rising threat of China.
 
In short, they aren’t. 

There’s a lot of work ahead to fully address the China challenge. Here’s what we need to do:

https://t.co/5vGEFgLhuR",2020-09-30 16:33:28+00:00,False,665,395,1837,75,en,False,Twitter for iPhone,254,277,https://t.co/5vGEFgLhuR,https://www.foreignaffairs.com/articles/united-states/2020-09-30/us-intelligence-community-not-prepared-china-threat,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1311307945959927808,"It was a simple question: Will you condemn white supremacy?

Trump repeatedly refused.

Stand by for what?

His own FBI said far right extremist groups are the most serious domestic terrorist threat to America.

Trump’s coddling them is dangerous and disgraceful. https://t.co/S6I0NcO6gZ",2020-09-30 14:12:31+00:00,False,3832,1329,12398,236,en,False,Twitter Web App,264,287,https://t.co/S6I0NcO6gZ,https://twitter.com/axios/status/1311127476391772160,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1311077622009520128,"Ratcliffe’s decision to release Russian intelligence he concedes may be false is an obvious domestic political errand with an election weeks away.

But his acknowledgment that it was derived from sensitive sources and methods—which he may now have compromised—is just inexcusable. https://t.co/671Lg0bGPh",2020-09-29 22:57:18+00:00,False,2275,1005,6040,152,en,False,Twitter for iPhone,281,304,https://t.co/671Lg0bGPh,https://twitter.com/jeremyherb/status/1311056956023595009,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1311049473473294341,"Trump has $421 million in loans due in the next 4 years.
 
And his precarious finances leave him susceptible to outside pressure. He knows it. Foreign countries know it.

What happens when the bill comes due?

We know one thing: He always puts his interests above the nation’s. https://t.co/tXzkk7XADx",2020-09-29 21:05:27+00:00,False,2760,771,7753,120,en,False,Twitter for iPhone,278,301,https://t.co/tXzkk7XADx,https://twitter.com/AP/status/1310399420190593024,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1311033531750117376,"This story deeply moved me.

No one's health care should suffer because of the color of their skin. No family should have to advocate for the humanity of their loved one as they await care.

I introduced the #EqualHealthCareforAll Act to treat health care as a civil rights issue. https://t.co/MBmDrCfkyu",2020-09-29 20:02:06+00:00,False,581,176,2056,17,en,False,Twitter Web App,281,304,https://t.co/MBmDrCfkyu,https://twitter.com/choo_ek/status/1291810625161588737,NA,NA,NA,NA,NA,NA,NA,NA
RepAdamSchiff,29501253,1311003438520639492,"BREAKING: @HouseIntel just subpoenaed DHS and the acting head of its intelligence office.

They are effectively blocking the whistleblower from testifying and have failed to provide key documents.

We will not tolerate DHS's obstruction and attempts to run out the clock.",2020-09-29 18:02:31+00:00,False,10940,2316,37260,444,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
