ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
GavinNewsom,11347122,1424023143539040258,"What an amazing feat for an amazing Californian!!! Congratulations, Allyson! 🇺🇸🇺🇸🇺🇸 https://t.co/viuTWTbze3",2021-08-07 15:02:29+00:00,False,238,77,3233,13,en,False,Twitter for iPhone,84,107,https://t.co/viuTWTbze3,https://twitter.com/nytimes/status/1423986462358478851,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1423781619945541637,Get vaccinated. https://t.co/1A3JxvUuJP,2021-08-06 23:02:45+00:00,False,584,619,4276,68,en,False,Twitter for iPhone,16,39,https://t.co/1A3JxvUuJP,https://www.npr.org/sections/coronavirus-live-updates/2021/08/06/1025360746/california-vaccine-mandate-health-care-workers,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1423399851350319107,NEW: California will now require workers in healthcare settings to be fully vaccinated against COVID-19 by September 30th.,2021-08-05 21:45:44+00:00,False,4935,2127,40668,879,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1423387868169261058,THIS. https://t.co/MBNkaFPzFv,2021-08-05 20:58:07+00:00,False,350,444,3573,44,en,False,Twitter for iPhone,6,29,https://t.co/MBNkaFPzFv,https://twitter.com/POTUS/status/1423366481753133063,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1423385359140855810,👇👇👇 https://t.co/vjHpXLn5q5,2021-08-05 20:48:09+00:00,False,246,185,2067,15,und,False,Twitter for iPhone,4,27,https://t.co/vjHpXLn5q5,https://twitter.com/benwakana46/status/1423275367247323139,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1423377677117911042,"The climate emergency we face demands immediate action.

Cars shouldn’t give our kids asthma.

Make wildfires worse.

Or melt glaciers.

Thank you, @POTUS for this bold move to reduce pollution from cars -- inspired by CA’s nation-leading framework! https://t.co/pG1DtO9Rtn",2021-08-05 20:17:37+00:00,False,196,236,1157,13,en,False,Twitter for iPhone,250,273,https://t.co/pG1DtO9Rtn,https://twitter.com/POTUS/status/1423369493263306756,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1423279196571271181,"Grateful for the firefighters and first responders on the front lines fighting the #RiverFire. If you’re in the area — please listen to local authority warnings and evacuate when asked. 

Stay safe. https://t.co/zW63ULy24f",2021-08-05 13:46:18+00:00,False,97,70,674,5,en,False,Twitter for iPhone,199,222,https://t.co/zW63ULy24f,https://twitter.com/CNN/status/1423275124086775811,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1423278074515247107,The right move. https://t.co/Wgq80bJfL7,2021-08-05 13:41:50+00:00,False,688,517,7616,63,en,False,Twitter for iPhone,16,39,https://t.co/Wgq80bJfL7,https://twitter.com/KTLA/status/1423109399250227202,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1423137728518975492,Great to be with @SecVilsack today. The extreme weather conditions CA faces require renewed partnerships to fight wildfires and take care of our forests. Grateful for the federal government’s commitment. https://t.co/UNka0kJoHT,2021-08-05 04:24:09+00:00,False,166,157,957,14,en,False,Twitter for iPhone,204,227,https://t.co/UNka0kJoHT,https://twitter.com/SecVilsack/status/1422997851773231109,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1422612169602920448,"NEW: Over the last 2 weeks, California has seen a 41% increase in vaccinations.

Let’s keep it up!",2021-08-03 17:35:46+00:00,False,2577,795,23221,166,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1421524133913923591,"Californians -- even though the federal eviction moratorium expires today, CA’S REMAINS IN EFFECT through the end of September. 

That means you’re still protected if you’ve had trouble paying rent due to COVID.

Rental assistance is available at https://t.co/dTkcU2PUJk https://t.co/SF3dDgb77g",2021-07-31 17:32:18+00:00,False,1612,698,4302,165,en,False,Twitter for iPhone,247,270,https://t.co/dTkcU2PUJk,http://HousingIsKey.com,271,294,https://t.co/SF3dDgb77g,https://twitter.com/RBReich/status/1421478505989165062,NA,NA,NA,NA
GavinNewsom,11347122,1421253859964375043,"And of course, @POTUS asked federal employees to get vaccinated or submit to a regular testing program. 

Vaccines are how we end this pandemic. They are safe. Effective. And can save your life.

Get vaccinated.",2021-07-30 23:38:20+00:00,True,219,326,1986,17,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1421253858823610368,Uber will require vaccinations for its employees: https://t.co/pPVrLpcUiK,2021-07-30 23:38:20+00:00,True,173,89,1529,22,en,False,Twitter for iPhone,50,73,https://t.co/pPVrLpcUiK,https://www.newsweek.com/uber-joins-facebook-google-requiring-employees-returning-offices-vaccinated-1614499,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1421253857221353474,Lyft will require employees to show proof of vaccination: https://t.co/oYhVwwtvdz,2021-07-30 23:38:19+00:00,True,99,33,700,9,en,False,Twitter for iPhone,58,81,https://t.co/oYhVwwtvdz,https://www.ktvu.com/video/960511,NA,NA,NA,NA,NA,NA,NA,NA
GavinNewsom,11347122,1421253856286052354,Netflix will require its casts and crews to get vaccinated: https://t.co/NVo6FApDrk,2021-07-30 23:38:19+00:00,True,104,36,754,5,en,False,Twitter for iPhone,60,83,https://t.co/NVo6FApDrk,https://thehill.com/changing-america/well-being/prevention-cures/565633-netflix-to-require-vaccinations-on-set,NA,NA,NA,NA,NA,NA,NA,NA
