ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
AmyKlobuchar,33537967,1458919868674322436,For years I've fought to ensure veterans exposed to toxic substances can access the care they need w/ as few bureaucratic hurdles as possible. Important announcement today by President Biden and @SecVetAffairs on what they are doing. https://t.co/8Xk2paK1Sm,2021-11-11 22:09:36+00:00,False,105,20,526,2,en,False,Twitter for iPhone,234,257,https://t.co/8Xk2paK1Sm,https://twitter.com/ABCPolitics/status/1458818491587473417,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458888739594412036,"In his final days, John McCain pointed me to a line in his book:

""Nothing in life is more liberating than to fight for a cause larger than yourself."" 

That same spirit was alive among the courageous veterans I met today at the American Legion post in Maple Grove. https://t.co/3B0aEvE2DP",2021-11-11 20:05:55+00:00,False,466,82,4362,15,en,False,Twitter for iPhone,266,289,https://t.co/3B0aEvE2DP,https://twitter.com/amyklobuchar/status/1458888739594412036/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458855506337009675,"The only thing that could have made this visit better would have been if Big Bird had tagged along! Thanks for coming to Minnesota, @SecBecerra!

https://t.co/GQCzSSfN22",2021-11-11 17:53:51+00:00,False,70,31,484,4,en,False,Twitter for iPhone,146,169,https://t.co/GQCzSSfN22,https://m.startribune.com/hhs-secretary-xavier-becerra-promotes-pediatric-covid-19-vaccination-in-minnesota/600115080/?clmob=y&c=n#2,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458828008211591177,"Today, we honor the men and women who serve and have served our nation and remember the debt that we owe them and their families. There is nothing braver than the sacrifice made to serve your country and keep us all safe. Happy Veterans Day.",2021-11-11 16:04:35+00:00,False,210,41,1589,1,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458615158054563843,"Prescriptions are too expensive: I hear that from people across Minnesota all the time. There are no ifs, ands, or buts about it. Lowering costs should be a number one priority.",2021-11-11 01:58:48+00:00,False,710,220,5057,28,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458593750209413125,How do we fix Facebook? The short answer: We finally bring some accountability. https://t.co/dSfYg0DjNX,2021-11-11 00:33:44+00:00,False,157,113,964,11,en,False,Twitter for iPhone,80,103,https://t.co/dSfYg0DjNX,https://twitter.com/voxdotcom/status/1457656693853204488,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458570268331417610,"Americans can't afford their medications because of the astronomical cost of lifesaving drugs. Today's discussion with @SecBecerra, @AngieCraigMN, and Minnesotans on the frontlines of this fight today made one thing clear: the need for action. https://t.co/HvAtTKBzjS",2021-11-10 23:00:25+00:00,False,119,43,695,6,en,False,Twitter for iPhone,244,267,https://t.co/HvAtTKBzjS,https://twitter.com/amyklobuchar/status/1458570268331417610/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458506351475363849,"As a mom, I know there are many relieved parents across the country who can now protect their kids from this pandemic with the best defense we have: the COVID vaccine. Great to join @SecBecerra and @Tim_Walz at @MayoClinic today to spread the word about this critical development. https://t.co/CmeAHxAH8o",2021-11-10 18:46:26+00:00,False,83,41,492,3,en,False,Twitter for iPhone,281,304,https://t.co/CmeAHxAH8o,https://twitter.com/amyklobuchar/status/1458506351475363849/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458468633244577793,90% of Americans want Medicare to be able to negotiate for lower drug prices. And I have yet to meet anyone in the other 10%. Who wants to pay more? (Besides big pharma lobbyists). It doesn’t get much clearer than this. Let’s get it done!,2021-11-10 16:16:33+00:00,False,3093,381,16386,108,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AmyKlobuchar,33537967,1458289417815273475,"Death threats for voting for the bipartisan infrastructure bill? It takes one sick political mind to conjure up hate over voting for broadband and roads and bridges. Since when is getting something done the new curse? 
 https://t.co/oiYnhfA5kK",2021-11-10 04:24:25+00:00,False,836,231,3207,48,en,False,Twitter for iPhone,220,243,https://t.co/oiYnhfA5kK,https://www.washingtonpost.com/politics/gop-rep-fred-upton-receives-death-threats-after-voting-for-bipartisan-infrastructure-deal/2021/11/09/78fe5ac8-4195-11ec-9ea7-3eb2406a2e24_story.html,NA,NA,NA,NA,NA,NA,NA,NA
