ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenSherrodBrown,43910797,1397543372823408642,"Starting at 10AM 🕚 Watch the #WallStreetOversight hearing live at @SenateBanking. 
https://t.co/HtJ2nRMDAa",2021-05-26 13:21:19+00:00,False,16,2,68,2,en,False,Twitter for iPhone,83,106,https://t.co/HtJ2nRMDAa,https://www.wsj.com/articles/wall-street-ceos-to-testify-in-congress-on-pandemic-response-11622021401,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1397276607719657474,"A year ago today, the world learned George Floyd's name.

We must honor his memory by passing meaningful reforms - reforms that protect Black and brown communities and hold law enforcement accountable for misconduct.

That starts with the George Floyd Justice in Policing Act.",2021-05-25 19:41:18+00:00,False,77,29,489,4,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1397204744016437257,"Fed Vice Chair Quarles' job is to check Wall Street's power and hold the biggest banks accountable. But as far as I can tell, he doesn't view standing up to Wall Street as part of his job.

If we want an economy that reflects our values, we can’t let Wall Street write the rules. https://t.co/4p7mbvoTmY",2021-05-25 14:55:44+00:00,False,74,25,376,6,en,False,Twitter Web App,280,303,https://t.co/4p7mbvoTmY,https://twitter.com/SenSherrodBrown/status/1397204744016437257/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1396916327613452293,"On Wednesday, the CEOs of the six biggest banks are testifying at @SenateBanking's #WallStreetOversight hearing.
 
It's our job to hold Wall Street accountable for putting profits over people - as Chairman, I'm going to make sure they know we’re watching. https://t.co/Oa7RIeiHAN",2021-05-24 19:49:40+00:00,False,56,30,485,11,en,False,Twitter Web App,256,279,https://t.co/Oa7RIeiHAN,https://twitter.com/SenSherrodBrown/status/1396916327613452293/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1396860916558405634,"GREAT NEWS: Peloton to build its first U.S. factory in Ohio and create over 2,000 skilled manufacturing jobs in Wood County.

I'm thrilled to see this investment in American manufacturing come to Ohio - we have the most productive workers in the world. https://t.co/vISry1AKO9",2021-05-24 16:09:29+00:00,False,428,52,3587,41,en,False,Twitter Web App,253,276,https://t.co/vISry1AKO9,https://twitter.com/CNBC/status/1396858572315758609,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1395741169779421184,https://t.co/DM5gfY8d1q,2021-05-21 14:00:01+00:00,False,51,37,477,7,und,False,Twitter Web App,0,23,https://t.co/DM5gfY8d1q,https://twitter.com/SenSherrodBrown/status/1395741169779421184/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1395531098344538112,Read more here 👇 https://t.co/ABayqUxLdI,2021-05-21 00:05:16+00:00,True,39,17,196,1,en,False,Twitter for iPhone,17,40,https://t.co/ABayqUxLdI,https://twitter.com/SenateBanking/status/1395530656134930435,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1395530250155610112,"Bitcoin’s value fluctuates at the drop of a tweet. Yesterday, it plummeted 30%.
 
This kind of market volatility is not what our economy needs. If risky crypto companies want to become banks, they shouldn’t get to play by a different set of rules.
https://t.co/qRptyQYiBn",2021-05-21 00:01:53+00:00,False,200,129,1173,60,en,False,Twitter Web App,248,271,https://t.co/qRptyQYiBn,https://www.politico.com/news/2021/05/19/sherrod-brown-biden-cryptocurrency-489676,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1395386308684664843,"President Biden called the American Jobs Plan ""a blueprint to rebuild blue-collar America"".
 
He's right.
 
We need bold action to rebuild our infrastructure, protect our communities from climate disasters, and put Americans to work in good-paying jobs. https://t.co/OJlOfMb5LJ",2021-05-20 14:29:55+00:00,False,120,23,466,3,en,False,Twitter Media Studio,254,277,https://t.co/OJlOfMb5LJ,https://twitter.com/SenSherrodBrown/status/1395386308684664843/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1395056715066970118,"Want to learn more about the Child Tax Credit's NEW monthly direct payments? 

Tune in to my weekly Facebook Live at 12:45PM. 

STARTING SOON 🕐
https://t.co/BIa90b6qqQ",2021-05-19 16:40:14+00:00,False,25,18,96,1,en,False,Twitter Web App,144,167,https://t.co/BIa90b6qqQ,https://www.facebook.com/SenSherrodBrown/live/,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1394360492827758595,"Glad to see U.S. Trade Rep @AmbassadorTai standing up for ALL workers with the Brown-@RonWyden USMCA labor enforcement tool.
 
This is how we curb the global race-to-the-bottom on workers’ rights that moves our jobs overseas.
https://t.co/VAqux2rsfZ",2021-05-17 18:33:42+00:00,False,19,11,73,1,en,False,Twitter Web App,226,249,https://t.co/VAqux2rsfZ,https://www.wksu.org/government-politics/2021-05-17/labor-complaints-filed-against-two-mexican-companies-using-provision-co-authored-by-sen-sherrod-brown,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1394301766850813955,"Find out how much money you could get from the #ChildTaxCredit here:
https://t.co/UVWx1ZjVb2",2021-05-17 14:40:20+00:00,True,29,11,52,1,en,False,Twitter Web App,69,92,https://t.co/UVWx1ZjVb2,https://www.washingtonpost.com/business/interactive/2021/child-tax-credit-calculator/?itid=hp-top-table-main-0430b,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1394301765739323400,"#TaxDay News - NEW #ChildTaxCredit monthly payments will begin July 15.

Your family could receive up to $300/month per child.

Today's the deadline to file your taxes and secure these benefits for your family. 👇
https://t.co/JTHPqRpgpl
https://t.co/qynUmIwrGh",2021-05-17 14:40:20+00:00,False,105,27,268,9,en,False,Twitter Web App,213,236,https://t.co/JTHPqRpgpl,http://apps.irs.gov/app/freeFile/,237,260,https://t.co/qynUmIwrGh,https://www.washingtonpost.com/us-policy/2021/05/17/biden-child-tax-benefit/,NA,NA,NA,NA
SenSherrodBrown,43910797,1393263022441967616,"My heart goes out to you and your family, @RepBeatty. Sending my condolences, and remembering a devoted Ohio leader today. https://t.co/l06hoY3tal",2021-05-14 17:52:44+00:00,False,33,5,260,0,en,False,Twitter for iPhone,123,146,https://t.co/l06hoY3tal,https://twitter.com/RepBeatty/status/1393244328475168769,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1392993383208079360,"Stripping Ohioans of this $300/week they earned is an insult.
 
People want to go to work at good jobs where they have dignity, are paid a living wage, and can take care of their families.
 
Instead of taking away this lifeline, create good jobs.
https://t.co/e1wmxUUMGd",2021-05-14 00:01:17+00:00,False,466,182,1903,63,en,False,Twitter for iPhone,247,270,https://t.co/e1wmxUUMGd,https://www.wlwt.com/article/ohio-to-drop-dollar300-a-week-federal-unemployment-benefits/36421564,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1392913811867422727,"Great news from @CDCgov: If you're fully vaccinated, you no longer need to wear a mask (in most cases).
 
Get vaccinated and get life back to normal. https://t.co/prgDb9A4Hx",2021-05-13 18:45:06+00:00,False,37,32,317,9,en,False,Twitter Web App,150,173,https://t.co/prgDb9A4Hx,https://twitter.com/CDCgov/status/1392911350058323973,NA,NA,NA,NA,NA,NA,NA,NA
SenSherrodBrown,43910797,1392880814334095360,"Claiming the Child Tax Credit is as simple as filing your taxes, but many families don't know about this benefit.

Share this video and help spread the word:
https://t.co/n0zMXug9QT",2021-05-13 16:33:59+00:00,True,21,5,39,1,en,False,Twitter Web App,158,181,https://t.co/n0zMXug9QT,https://www.facebook.com/watch/?v=2870177136564680,NA,NA,NA,NA,NA,NA,NA,NA
