ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
RBReich,148529707,1499798660531425283,"If speaking at a white nationalist conference doesn’t make you a white nationalist, I’m not sure what does.

CC @RepMTG",2022-03-04 17:27:20+00:00,False,1552,177,8988,41,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499756299663331333,"What do you think is the likelihood that you will marry someone with your same level of formal education?

90%?
60%?
30%?
10%?

This week’s class explores why geographic, economic, and racial segregation has been increasing and how we got here.
https://t.co/naXor2h1Y7",2022-03-04 14:39:00+00:00,False,75,62,288,4,en,False,Sprout Social,245,268,https://t.co/naXor2h1Y7,https://robertreich.substack.com/p/wealth-and-poverty-week-4,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499535342554075174,"Exxon is using its windfall profits from the pandemic to buy back $10 billion of its own stock.

Stock buybacks don’t create more or better jobs. Money spent on them isn’t invested in new equipment, R&amp;D or wages. They don’t grow the economy. They just make corporate execs richer. https://t.co/CCX5CFKQte",2022-03-04 00:01:00+00:00,False,560,84,1297,38,en,False,Twitter Media Studio,285,308,https://t.co/CCX5CFKQte,https://twitter.com/RBReich/status/1499535342554075174/video/1,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499522427457392649,"The GOP’s animus toward democracy is undeniable.

This is a party that suppresses votes, refuses to accept election outcomes, bans books, and prohibits discussion about race, gender, and sexual orientation in classrooms.

Authoritarianism is not just an external threat to the US.",2022-03-03 23:09:41+00:00,False,699,115,2384,17,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499514720226660359,"Unchecked corporate greed isn’t going to fly anymore.

Solidarity with these courageous tech workers, and working people everywhere. https://t.co/o9MOMuBZsK",2022-03-03 22:39:03+00:00,False,215,21,1244,2,en,False,Twitter Web App,133,156,https://t.co/o9MOMuBZsK,https://twitter.com/MorePerfectUS/status/1499512005216157697,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499510828403290124,"Biden today signs landmark law forbidding companies from forcing sexual harassment and assault claims into private arbitration. 

But employers can still force workers to privately arbitrate other complaints, including wage theft and discrimination. 

No forced arbitration!",2022-03-03 22:23:35+00:00,False,263,24,1198,8,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499503568998387712,"More than a third of families with children in the U.S. now say they are struggling to cover ordinary costs.

The child tax credit expansion was on course to lift millions of kids out of poverty. Now would be a good time to renew it.",2022-03-03 21:54:44+00:00,False,602,139,2611,20,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499502062005940232,Momentum is building. https://t.co/CLaKTmhb2U,2022-03-03 21:48:45+00:00,False,106,11,564,4,en,False,Twitter Web App,22,45,https://t.co/CLaKTmhb2U,https://twitter.com/fshakir/status/1499390524603748357,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499482090168991745,"Look, corporate profits are at near record levels. Of course these massive corporations could absorb cost increases. They’re not raising prices because they have to. They’re doing it because they can. And they can because many of them have killed off all of their competition. https://t.co/xNEtdjI8bT",2022-03-03 20:29:23+00:00,False,662,74,1477,43,en,False,Twitter Media Studio,277,300,https://t.co/xNEtdjI8bT,https://twitter.com/RBReich/status/1499482090168991745/video/1,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499468812290179088,https://t.co/LGuko1tTRg,2022-03-03 19:36:38+00:00,True,143,30,832,9,und,False,Twitter Web App,0,23,https://t.co/LGuko1tTRg,https://fortune.com/2022/02/25/ukraine-invasion-russia-germany-natural-gas/,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499468635995193363,Russia provides Europe with 40% of its natural gas. Now would be an ideal time to transition away from fossil fuels.,2022-03-03 19:35:56+00:00,False,3025,898,23898,137,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499458082249723904,"Trump is unfit to hold office. No, that should not be controversial. https://t.co/8mFgud4zwO",2022-03-03 18:54:00+00:00,False,154,53,844,6,en,False,Twitter Web App,69,92,https://t.co/8mFgud4zwO,https://twitter.com/ThePlumLineGS/status/1499434309329080326,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499445522100211729,"Mitch McConnell’s claims there’s no place in the GOP for white nationalists.

Meanwhile, Marjorie Taylor Greene and Paul Gosar just spoke at a rally hosted by white nationalists and Holocaust deniers.

Is there a place for them in the GOP?

Any thoughts at all, @LeaderMcConnell?",2022-03-03 18:04:05+00:00,False,987,187,3834,54,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499387878165684230,Memo to the Fed: A better alternative to raising interest rates and slowing the economy would be a windfall profits tax on big corporations who have been raising prices despite making record profits. https://t.co/Z4VBrkn8zz,2022-03-03 14:15:02+00:00,False,473,65,1560,20,en,False,Sprout Social,200,223,https://t.co/Z4VBrkn8zz,https://robertreich.substack.com/p/putin-powell,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499188561148534784,"Manufacturing output has increased, even as the number of manufacturing employees has decreased.

What's the story here, and how does it help explain the current state of economic inequality in the US?

Come find out: https://t.co/prHpUkJFno https://t.co/eiyUi4u5Ba",2022-03-03 01:03:01+00:00,False,79,37,266,0,en,False,Sprout Social,218,241,https://t.co/prHpUkJFno,https://robertreich.substack.com/p/wealth-and-poverty-week-3,242,265,https://t.co/eiyUi4u5Ba,https://twitter.com/RBReich/status/1499188561148534784/photo/1,NA,NA,NA,NA
RBReich,148529707,1499156371610091520,"Take a look at this chart.

If you are rightfully repulsed by Putin’s oligarchy, do not let the American oligarchy off the hook. https://t.co/4NxlW9mq6t",2022-03-02 22:55:06+00:00,False,1723,148,5307,76,en,False,Twitter Web App,129,152,https://t.co/4NxlW9mq6t,https://twitter.com/RBReich/status/1499156371610091520/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499139296137080836,"Nothing says “pro-life Republican"" like refusing to protect students from a deadly virus. https://t.co/qfBP6jfLoP",2022-03-02 21:47:15+00:00,False,579,359,2873,55,en,False,Twitter Web App,90,113,https://t.co/qfBP6jfLoP,https://twitter.com/EvanDonovan/status/1499086276519239680,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499129947247427590,All refugees fleeing violence must be welcomed here. That includes Ukraine. That also includes Yemen. And Afghanistan. And Syria. And beyond.,2022-03-02 21:10:06+00:00,False,1370,198,8644,60,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499118901799493634,All 16 of Trump's chosen Texas House candidates won their races yesterday. Is Putin celebrating?,2022-03-02 20:26:13+00:00,False,462,425,2130,44,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499108172354580480,"Putin has amassed enormous wealth for himself and the oligarchs that support him.

Is the state of wealth inequality really so different in America?

The top 1% of Americans own more wealth than the entire middle-class combined.

That sure sounds like an oligarchy to me.",2022-03-02 19:43:35+00:00,False,1164,227,4623,77,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499097865699790848,https://t.co/P13qFlbuqC,2022-03-02 19:02:37+00:00,True,79,14,315,9,und,False,Twitter Web App,0,23,https://t.co/P13qFlbuqC,https://www.nbcnews.com/news/us-news/amys-kitchen-says-food-made-love-factory-say-job-left-injured-rcna8189,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499097713098379272,"Each production line at Amy’s Kitchen has to make 25,716 plates of food during an 8.5-hour shift. 

This is a company that says its food is made with “love”.

Amy’s workers just joined with Teamsters to demand better conditions, benefits, and wages.

Who else stands with them?",2022-03-02 19:02:01+00:00,False,290,45,1827,17,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499078286072107013,"As the U.S. rightly condemns Putin’s assault on democracy abroad, we cannot forget that democracy is also under threat at home.

In 2021 alone, more than 440 voter suppression bills were introduced in 29 states.",2022-03-02 17:44:49+00:00,False,1644,145,4788,37,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499074221938520072,"In last night's SOU, President Biden talked about buying American. But what does that really mean in today's interconnected, global economy?

Let's discuss: https://t.co/prHpUkJFno",2022-03-02 17:28:40+00:00,False,47,30,173,2,en,False,Sprout Social,157,180,https://t.co/prHpUkJFno,https://robertreich.substack.com/p/wealth-and-poverty-week-3,NA,NA,NA,NA,NA,NA,NA,NA
RBReich,148529707,1499027749058625537,"For today's Office Hours, let’s discuss: what should we be prepared to sacrifice to stop Putin’s aggression?

None of this is pleasant to think about, but we have no choice.

I'll chime in at the link below at 10am PT/1pm ET. https://t.co/nXW3H9DQkX",2022-03-02 14:24:00+00:00,False,31,45,153,3,en,False,Sprout Social,226,249,https://t.co/nXW3H9DQkX,https://robertreich.substack.com/p/office-hours-what-should-we-be-prepared,NA,NA,NA,NA,NA,NA,NA,NA
