ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenGillibrand,72198806,1392230192328974341,"I'm proud to endorse @MelanieforNM for #NMCD1!

Her special election is just 20 days away, and she needs our help to hold @DebHaalandNM's seat and defend our House majority. Chip in now: https://t.co/1bRwyqZlzR https://t.co/ckEs1aHWUx",2021-05-11 21:28:38+00:00,False,26,13,114,2,en,False,Twitter Web App,187,210,https://t.co/1bRwyqZlzR,https://secure.actblue.com/donate/ots_stansbury?refcode=social,211,234,https://t.co/ckEs1aHWUx,https://twitter.com/SenGillibrand/status/1392230192328974341/photo/1,NA,NA,NA,NA
SenGillibrand,72198806,1392108700580581384,This is fantastic news from the Biden administration. No one should have to fear being discriminated against by their health care provider. Now let's pass the Equality Act to protect these rights for all LGBTQ+ Americans. https://t.co/130iG31kVT,2021-05-11 13:25:53+00:00,False,51,12,305,0,en,False,Twitter for Android,222,245,https://t.co/130iG31kVT,https://www.nbcnews.com/politics/joe-biden/biden-administration-announces-reversal-trump-era-limits-protections-transgender-people-n1266823,NA,NA,NA,NA,NA,NA,NA,NA
SenGillibrand,72198806,1391875785569579011,"""It felt like the rug was pulled out from under us. It just kind of baffled me that we were expected to continue working and just figure it out.”

Child care is infrastructure. And if we want to help parents get back to work, it's time to invest in it. https://t.co/0Sc0PoWvxw",2021-05-10 22:00:21+00:00,False,60,22,291,3,en,False,Twitter Web App,253,276,https://t.co/0Sc0PoWvxw,https://www.nytimes.com/2021/05/09/business/child-care-infrastructure-biden.html,NA,NA,NA,NA,NA,NA,NA,NA
SenGillibrand,72198806,1391744117764415494,"How could you use the #AmericanFamiliesPlan's paid leave?

🔘 After giving birth or adopting
🔘 To recover from a serious illness
🔘 To care for an ill loved one
🔘 To find safety after sexual assault, stalking, or domestic violence
🔘 After the death of a loved one",2021-05-10 13:17:09+00:00,False,35,21,205,1,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenGillibrand,72198806,1391495167434235913,"Let's build an economy that works for all of us. This #MothersDay, fight for universal, guaranteed paid leave. https://t.co/2Z0F5o8mT4",2021-05-09 20:47:55+00:00,False,77,36,443,8,en,False,Twitter Web App,111,134,https://t.co/2Z0F5o8mT4,https://twitter.com/SenGillibrand/status/1391495167434235913/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenGillibrand,72198806,1391466753121718274,"Celebrating moms on #MothersDay is nice, but let's give them the respect and pay they've earned every day of the year. https://t.co/MzTjyxix1X",2021-05-09 18:55:00+00:00,False,78,18,639,11,en,False,Twitter Web App,119,142,https://t.co/MzTjyxix1X,https://twitter.com/SenGillibrand/status/1391466753121718274/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenGillibrand,72198806,1391429757443653641,"Breakfast in bed is nice, but working moms need support all year round. This #MothersDay, let's fight to invest in the quality, affordable child care that moms and families need. https://t.co/Gkd36gGYKw",2021-05-09 16:28:00+00:00,False,64,13,387,3,en,False,Twitter Web App,179,202,https://t.co/Gkd36gGYKw,https://twitter.com/SenGillibrand/status/1391429757443653641/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenGillibrand,72198806,1391395991815966729,"I've had a lot of jobs, but this is by far my favorite. Happy Mother's Day! https://t.co/rJUMSejssR",2021-05-09 14:13:49+00:00,False,41,19,1349,6,en,False,Twitter Web App,76,99,https://t.co/rJUMSejssR,https://twitter.com/SenGillibrand/status/1391395991815966729/photo/1,76,99,https://t.co/rJUMSejssR,https://twitter.com/SenGillibrand/status/1391395991815966729/photo/1,76,99,https://t.co/rJUMSejssR,https://twitter.com/SenGillibrand/status/1391395991815966729/photo/1
SenGillibrand,72198806,1391103702061174793,"When the pandemic hit, it was moms who overwhelmingly left their jobs to care for their kids — and they're still being left behind in our recovery. We need affordable child care and paid leave to build an economy that actually works for working moms. https://t.co/mXsM3PijYk",2021-05-08 18:52:22+00:00,False,78,72,406,9,en,False,Twitter Web App,251,274,https://t.co/mXsM3PijYk,https://www.wsj.com/articles/nearly-1-5-million-mothers-are-still-missing-from-the-workforce-11619472229,NA,NA,NA,NA,NA,NA,NA,NA
SenGillibrand,72198806,1390763603549171714,I'm excited to join @JumaaneWilliams at his birthday party on Tuesday! Can you join me there and help me wish him a happy birthday? 🎂 https://t.co/n0zRFnwych,2021-05-07 20:20:56+00:00,False,10,22,36,2,en,False,Twitter Web App,134,157,https://t.co/n0zRFnwych,https://secure.actblue.com/donate/jumaane-birthday?refcode=kg,NA,NA,NA,NA,NA,NA,NA,NA
