ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenDuckworth,1058520120,1417593955013873669,"Today in 1968, Chicago’s Soldier Field hosted the first @SpecialOlympics—opening its doors to a world of possibilities for thousands of athletes with intellectual disabilities. Now, millions compete and demonstrate the power of sport, confidence, inclusion and community.",2021-07-20 21:15:11+00:00,False,84,5,503,5,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1417574016710230018,"The current GOP plan falls way short.
 
We must make sure the Capitol is protected and that the @NationalGuard isn't forced to cut necessary training efforts.
 
This should be above political games.
 
https://t.co/Umt6ntkQJF",2021-07-20 19:55:57+00:00,False,69,15,221,3,en,False,Twitter for iPhone,201,224,https://t.co/Umt6ntkQJF,https://www.defenseone.com/policy/2021/07/exclusive-congress-refusal-cover-jan-6-related-costs-has-national-guard-scrambling-funds/183818/,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1417523017228460032,"As many of us have come to know, the road to parenthood isn't always easy. Today, @RepPressley and I are introducing the Support Through Loss Act to support families across the nation who are suffering through the unimaginable. https://t.co/AumdVaORMn",2021-07-20 16:33:18+00:00,False,110,60,448,24,en,False,Twitter Media Studio,228,251,https://t.co/AumdVaORMn,https://twitter.com/SenDuckworth/status/1417523017228460032/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1417209581894242304,"We've made much progress since Seneca Falls. But with women holding just 143 seats in Congress—despite women making up 51% of the population—we have more work to do. 
 
Let's work to make sure our government is as diverse as the people it represents.",2021-07-19 19:47:49+00:00,False,110,11,632,3,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1417185386384793606,"The current FEMA formula fails to provide many smaller, rural communities in Illinois with the resources they need to rebuild and recover.

Natural disasters don’t discriminate–neither should FEMA. 

https://t.co/5yHGK9sXpv",2021-07-19 18:11:40+00:00,False,40,5,139,0,en,False,Twitter Web App,200,223,https://t.co/5yHGK9sXpv,https://www.duckworth.senate.gov/news/press-releases/duckworth-durbin-introduce-bill-to-bring-fairness-to-fema-disaster-declaration-process,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1416767040631844865,"It’s time America finally joins the rest of the industrialized world and establishes a national paid family leave program.

We can do that with @POTUS's American Families Plan.",2021-07-18 14:29:19+00:00,False,737,52,4383,15,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1416405745252413450,"“Get in good trouble, necessary trouble.”
 
One year ago we lost John Lewis and today, his words still ring true as we watch Jim Crow 2.0 be ushered in across the country. We must honor his life's work and pass the John Lewis Voting Rights Advancement Act.
https://t.co/pFA0lDflLe",2021-07-17 14:33:39+00:00,False,293,36,1097,15,en,False,Twitter for iPhone,257,280,https://t.co/pFA0lDflLe,https://twitter.com/mariashriver/status/1416202403171479553/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1416184101783093250,"It was an honor to host you today, @SecretaryPete! Together, we have an opportunity to create historic, lasting investments in infrastructure for Illinoisans and Americans everywhere. https://t.co/QKxHwghaWL",2021-07-16 23:52:55+00:00,False,182,24,1856,3,en,False,Twitter for iPhone,184,207,https://t.co/QKxHwghaWL,https://twitter.com/SenDuckworth/status/1416184101783093250/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1416130300275527683,"As of 2019, 20% of all transit stations across the U.S. did not meet ADA accessibility standards.

A great way we could mark the ADA's upcoming 31st anniversary is by passing my ASAP Act to help transit systems provide accessible transportation for all.
https://t.co/fs5U9sQRCM",2021-07-16 20:19:08+00:00,False,90,8,312,9,en,False,Twitter for iPhone,254,277,https://t.co/fs5U9sQRCM,https://twitter.com/SenDuckworth/status/1395736427598581761/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenDuckworth,1058520120,1416081429692305408,"I was disappointed by the recent decision limiting E15 production.
 
That's why I helped @SenAmyKlobuchar &amp; @SenatorFischer introduce this bipartisan bill to increase access to clean biofuels and support the hardworking farmers who feed &amp; fuel our country. https://t.co/A3BuZc0JVd",2021-07-16 17:04:57+00:00,False,40,17,135,3,en,False,Twitter for iPhone,265,288,https://t.co/A3BuZc0JVd,https://www.reuters.com/world/us/bipartisan-us-bill-aims-expand-sales-ethanol-after-court-ruling-2021-07-14/,NA,NA,NA,NA,NA,NA,NA,NA
