ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
RepMaxineWaters,36686040,994346423406813184,"The moment of keeps: Giuliani, keep talking. Mueller, keep connecting the dots. Rosenstein, keep saying no. Stormy, keep storming.",2018-05-09 22:40:36+00:00,False,5735,2500,24846,476,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,994345886640758785,"Trump, further isolating the United States, thinks he knows better than our negotiators and all of our global allies who agreed to the Iran deal.  How long do we have to suffer his gigantic ego and narcissistic behavior? Impeachment is the only answer.",2018-05-09 22:38:28+00:00,False,3032,5476,11175,832,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,994343869172076547,"Tillerson, Spicer, Flynn, Price, Scaramucci, Bannon, Gorka, Porter, Cohn...#bebest",2018-05-09 22:30:27+00:00,False,724,351,3206,82,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,994342901042868224,"Be best? Give me a #BeBest break. White House ""be best"" bully, role modeling for our children?! Give me another break.",2018-05-09 22:26:36+00:00,False,6781,3019,29603,796,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,987325323426652160,https://t.co/4EagIzjDAb via @TeenVogue,2018-04-20 13:41:15+00:00,False,223,218,1067,21,und,False,Twitter Web Client,0,23,https://t.co/4EagIzjDAb,https://www.teenvogue.com/story/yara-shahidi-powerful-time-100-tribute-maxine-waters,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,987324895678910465,Reclaiming My Time: Magazine Names Rep. Maxine Waters Among 100 Most Influential https://t.co/HrwGD7AAwR,2018-04-20 13:39:33+00:00,False,1738,935,8354,219,en,False,Twitter Web Client,81,104,https://t.co/HrwGD7AAwR,https://cbsloc.al/2F1IN1D#.Wtntkcv2Gsw.twitter,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,986985887815929857,"Trump &amp; his backroom advisor Sean Hannity are bosom buddies -- both getting advice from the ""fixer"" Michael Cohen. Can't wait for the tell-all tapes.  Get ready for impeachment!!",2018-04-19 15:12:27+00:00,False,3766,2633,18792,563,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,986984766493736961,"Nikki Haley, why are you aligned w/ Trump?  What is it about him that makes you want to suffer endless humiliation? If you are concerned that Larry Kudlow and Trump think you are confused, why are you staying? How can you accept his lies &amp; his policies?",2018-04-19 15:08:00+00:00,False,4742,1195,23202,384,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,986970197159546882,Thank you @TIME and @YaraShahidi for this tremendous recognition! I'm honored to be included on @TIME's list of the world's most influential people #TIME100 https://t.co/ECjV4UBiHF,2018-04-19 14:10:06+00:00,False,2398,1129,10502,353,en,False,Twitter for iPhone,157,180,https://t.co/ECjV4UBiHF,https://ti.me/2J4XOSK,NA,NA,NA,NA,NA,NA,NA,NA
RepMaxineWaters,36686040,984564611109269504,"Today, I introduced #HRes821 recognizing the importance of the iconic Vietnam Veterans Memorial, its extraordinary replica which travels in The Wall That Heals exhibit, &amp; the distinguished veterans of the Vietnam War. Here are more photos from the exhibit's stop in @CityofGardena https://t.co/SSUiD2L3dX",2018-04-12 22:51:10+00:00,False,239,178,1213,17,en,False,Twitter for iPhone,285,308,https://t.co/SSUiD2L3dX,https://twitter.com/RepMaxineWaters/status/984564611109269504/photo/1,285,308,https://t.co/SSUiD2L3dX,https://twitter.com/RepMaxineWaters/status/984564611109269504/photo/1,285,308,https://t.co/SSUiD2L3dX,https://twitter.com/RepMaxineWaters/status/984564611109269504/photo/1
