ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenTedCruz,1074480192,1471598001684553732,"Truly inspiring to see Master Sergeant Earl D. Plumlee of Katy, TX, receive his Medal of Honor today.
 
His story of repelling a Taliban attack in 2013 is nothing short of astonishing.
 
MSG Plumlee is a hero and a great patriot, and all of Texas is grateful for his service.",2021-12-16 21:47:59+00:00,False,135,115,1036,8,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471585373549645830,The Biden Administration is singling out and refusing to invest in Texas. https://t.co/PY8wgyQ1Iv,2021-12-16 20:57:48+00:00,False,437,1435,1822,132,en,False,Twitter Media Studio,74,97,https://t.co/PY8wgyQ1Iv,https://twitter.com/SenTedCruz/status/1471585373549645830/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471562476101718032,"President Biden and his nominees have a pattern of being deeply hostile towards oil and natural gas.
 
His nominee for Maritime Administrator—Rear Adm. Ann Phillips—is no different.
 
She refused to answer whether or not she would approve deep water port projects. https://t.co/7z08hx02hH",2021-12-16 19:26:49+00:00,False,233,253,906,18,en,False,Twitter Media Studio,265,288,https://t.co/7z08hx02hH,https://twitter.com/SenTedCruz/status/1471562476101718032/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471523240149405701,No petty government tyrant has the right to order you to undergo a medical procedure. https://t.co/qBOvcHpRzw,2021-12-16 16:50:54+00:00,False,737,524,3538,67,en,False,Twitter Media Studio,86,109,https://t.co/qBOvcHpRzw,https://twitter.com/SenTedCruz/status/1471523240149405701/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471499703292346373,".@CNN: Cruz lambasts United CEO at hearing over employee mandate

https://t.co/81YMcylWVP",2021-12-16 15:17:23+00:00,False,133,229,648,17,en,False,Twitter Web App,66,89,https://t.co/81YMcylWVP,https://www.cnn.com/videos/business/2021/12/15/cruz-united-airlines-kirby-vaccine-mandate-vpx.cnn,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471480868422230018,"The #BidenBorderCrisis continues to spiral out of control.
 
The number of “gotaways” has reached historic levels under President Biden’s watch.
 
https://t.co/TU6LJfbjiB",2021-12-16 14:02:32+00:00,False,135,191,473,13,en,False,Twitter for iPhone,147,170,https://t.co/TU6LJfbjiB,https://townhall.com/tipsheet/juliorosas/2021/12/15/data-from-cbp-shows-how-many-illegal-immigrants-have-been-able-to-get-away-during-ongoing-crisis-n2600626,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471315220471730183,"Across the country, murder rates are up over 30%.
 
And there are extreme, left-wing DAs who refuse to prosecute crime. https://t.co/JvMZ50TIYn",2021-12-16 03:04:18+00:00,False,332,364,1222,31,en,False,Twitter Media Studio,120,143,https://t.co/JvMZ50TIYn,https://twitter.com/SenTedCruz/status/1471315220471730183/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471299988768628739,"#BuildBackBroke contains a tax cut for millionaires and billionaires in blue states.
 
Instead of focusing on rich Democrat donors,  we ought to be focused on working men and women and bringing jobs back. https://t.co/suszjfVjfc",2021-12-16 02:03:47+00:00,False,266,273,983,22,en,False,Twitter Media Studio,205,228,https://t.co/suszjfVjfc,https://twitter.com/SenTedCruz/status/1471299988768628739/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471262042262671361,"United Airlines has a callous disregard for their employees’ rights.
 
I’m proud to fight for United Airlines pilots and flight attendants. https://t.co/F6emqxbBiV",2021-12-15 23:33:00+00:00,False,640,1140,2981,191,en,False,Twitter Media Studio,140,163,https://t.co/F6emqxbBiV,https://twitter.com/SenTedCruz/status/1471262042262671361/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTedCruz,1074480192,1471257512217391105,"This morning, I spoke to a former United Airlines flight attendant about the disgraceful treatment she received at the hands of United.
 
Below is the letter she wrote me. https://t.co/t8jXtniHN7",2021-12-15 23:15:00+00:00,False,729,424,2132,70,en,False,Twitter Web App,172,195,https://t.co/t8jXtniHN7,https://twitter.com/SenTedCruz/status/1471257512217391105/photo/1,172,195,https://t.co/t8jXtniHN7,https://twitter.com/SenTedCruz/status/1471257512217391105/photo/1,NA,NA,NA,NA
SenTedCruz,1074480192,1471254546278227972,"United CEO Scott Kirby told his employees that “very few people” who requested a religious exemption to their vaccine mandate would be granted one, said his employees would be “putting their job on the line,” &amp; said employees should “be very careful about that.”
 
Disturbing. https://t.co/gvX7rI7JSX",2021-12-15 23:03:13+00:00,False,1418,1393,3474,341,en,False,Twitter Media Studio,281,304,https://t.co/gvX7rI7JSX,https://twitter.com/SenTedCruz/status/1471254546278227972/video/1,NA,NA,NA,NA,NA,NA,NA,NA
