ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
GovRonDeSantis,1058807868,1450841640487247873,"Governor DeSantis is in Brevard County addressing the Biden Administration’s weaponization of the Department of Justice against parents’ First Amendment rights. 

Watch Now: https://t.co/hrEfyPeOYy",2021-10-20 15:09:37+00:00,False,602,614,3884,38,en,False,Twitter Web App,174,197,https://t.co/hrEfyPeOYy,https://fb.watch/8LWGO009fE/,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450590155576860677,We have already seen ships re-route to Florida and look forward to accommodating even more.,2021-10-19 22:30:18+00:00,True,2648,544,16507,210,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450590103672344579,"Florida is open for business and Florida ports are ready to help America’s supply chain backlog. 

My Administration is showing our commitment to America’s supply chain with investments and action. https://t.co/OhuHERbKRx",2021-10-19 22:30:06+00:00,False,6704,1707,38016,584,en,False,Twitter Web App,198,221,https://t.co/OhuHERbKRx,https://twitter.com/GovRonDeSantis/status/1450590103672344579/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450586482184441857,Florida stands ready to alleviate the shipping bottleneck in other states. https://t.co/XCvuuppB9A,2021-10-19 22:15:42+00:00,False,2665,862,14256,273,en,False,Twitter Media Studio,75,98,https://t.co/XCvuuppB9A,https://twitter.com/GovRonDeSantis/status/1450586482184441857/video/1,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450468184579006471,"Governor DeSantis is at JAXPORT to highlight the ability of Florida Ports to deliver goods on time throughout the holiday season. 

Watch live: https://t.co/fyVBNJCOlG",2021-10-19 14:25:38+00:00,False,998,638,5863,87,en,False,Twitter Web App,144,167,https://t.co/fyVBNJCOlG,https://fb.watch/8KzKeR29iq/,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450235244913696771,"Workforce training programs provide instruction for students who want high-paying careers without being saddled with crippling debt. 

I will continue supporting these programs as we work to make Florida the best state in the nation for workforce education. https://t.co/UXI0nC7yOl",2021-10-18 23:00:01+00:00,False,667,572,4732,30,en,False,Twitter Web App,258,281,https://t.co/UXI0nC7yOl,https://twitter.com/GovRonDeSantis/status/1450235244913696771/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450211433950683136,"Florida has one of the most robust economies in the country. 

We are investing in infrastructure and workforce training to keep it that way. 

https://t.co/m6k5aXsJP7",2021-10-18 21:25:24+00:00,False,1605,792,11700,98,en,False,Twitter Web App,144,167,https://t.co/m6k5aXsJP7,https://www.flgov.com/2021/10/18/governor-ron-desantis-announces-6-million-infrastructure-investment-for-sumter-county/,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450168137303855105,".@FLCaseyDeSantis is going to fight back against cancer with courage, determination, and trust in God. The outpouring of support we’ve received from across Florida and the country is heartwarming – there is light at the end of the tunnel and we’re going to get there. https://t.co/5fIFxTlVNq",2021-10-18 18:33:21+00:00,False,2182,1305,17491,203,en,False,Twitter Media Studio,268,291,https://t.co/5fIFxTlVNq,https://twitter.com/GovRonDeSantis/status/1450168137303855105/video/1,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450107483402510336,"Governor DeSantis is in Sumter County to announce a Job Growth Grant Fund award for a local infrastructure project. 
Watch Now: https://t.co/7HRJmdwdAt",2021-10-18 14:32:20+00:00,False,97,361,1027,14,en,False,Twitter Web App,128,151,https://t.co/7HRJmdwdAt,https://fb.watch/8JfKTxaUqd/,NA,NA,NA,NA,NA,NA,NA,NA
GovRonDeSantis,1058807868,1450084501380599808,"Governor DeSantis is in Hernando County to announce funding for a new Government and Educational Center to provide workforce training programs for students.

Watch live: https://t.co/mqxoDkwUGI",2021-10-18 13:01:01+00:00,False,196,232,1644,17,en,False,Twitter Web App,170,193,https://t.co/mqxoDkwUGI,https://fb.watch/8JapfNfEh0/,NA,NA,NA,NA,NA,NA,NA,NA
