ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenTomCotton,968650362,1506771101468311555,"Hawkins’ case has been the centerpiece of Judge Jackson’s hearing. 

Jackson gave Hawkins a mere three-month sentence—and six years later, he was in trouble again.

Leniency for these offenders is unacceptable. https://t.co/W12p0vnICV",2022-03-23 23:13:19+00:00,False,148,193,455,20,en,False,Twitter Web App,211,234,https://t.co/W12p0vnICV,https://twitter.com/SenTomCotton/status/1506771101468311555/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1506447210527002625,"In 2020, well over a million violent crimes went unsolved, but Judge Jackson wouldn’t answer a simple question: does the United States imprison too many or too few violent criminals? https://t.co/iArQoO2fpd",2022-03-23 01:46:18+00:00,False,260,925,837,63,en,False,Twitter Media Studio,183,206,https://t.co/iArQoO2fpd,https://twitter.com/SenTomCotton/status/1506447210527002625/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1506423555495448576,"Drug overdoses killed more than 100,000 Americans last year.

It’s unacceptable to bend the law to give early release to a hardened fentanyl trafficker.",2022-03-23 00:12:18+00:00,False,749,1155,4148,86,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1505985652512497674,"I’m looking for a justice who will make decisions based on the law, not based on their personal experiences or desired political outcomes. https://t.co/LQkuDsa9IC",2022-03-21 19:12:14+00:00,False,1001,2858,5241,241,en,False,Twitter Media Studio,139,162,https://t.co/LQkuDsa9IC,https://twitter.com/SenTomCotton/status/1505985652512497674/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1505546960044007425,"The hearts of Arkansans from across the state are with the people of Dumas today. I’m grateful to the Arkansas State Police for their work on the case, and I pray that God will bring comfort to the victims and their families.",2022-03-20 14:09:01+00:00,False,51,167,388,7,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1504140370187325441,"Sanctions haven’t stopped the war in Ukraine.

It’s time for President Biden to send everything that shoots to our friends in Ukraine. https://t.co/r5x6GTUrMJ",2022-03-16 16:59:44+00:00,False,150,914,675,85,en,False,Twitter Web App,135,158,https://t.co/r5x6GTUrMJ,https://twitter.com/SenTomCotton/status/1504140370187325441/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1504130205912375301,"War is not hell; war is worse than hell. Only the condemned suffer in hell; war condemns the innocent to suffer.

Watch this video and ask which aircraft and which weapons we should deny the Ukrainians to protect the innocent. https://t.co/T5SRqpbeJh",2022-03-16 16:19:21+00:00,False,179,320,575,24,en,False,Twitter Media Studio,227,250,https://t.co/T5SRqpbeJh,https://twitter.com/SenTomCotton/status/1504130205912375301/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1503738657794142210,"The wages of Biden’s weakness are Russian tanks rolling through Eastern Europe. If we fail to support Ukraine, the stakes and the flames of war will rise.
https://t.co/6KFautIwpM",2022-03-15 14:23:28+00:00,False,97,346,388,15,en,False,Twitter Web App,155,178,https://t.co/6KFautIwpM,https://www.foxnews.com/opinion/biden-leadership-ukraine-poland-mig-sen-tom-cotton,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1503736107854446595,"President Zelenskyy asked for MiG-29s. His country is under attack. We should give them to him.

It’s as simple as that. https://t.co/xzkOm8Xq2Q",2022-03-15 14:13:20+00:00,False,160,395,911,25,en,False,Twitter Web App,121,144,https://t.co/xzkOm8Xq2Q,https://twitter.com/SenTomCotton/status/1503736107854446595/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1503457898046894086,My prayers are with @BenjaminHallFNC and his family as we await more information on his condition. https://t.co/xxy8QnsxAq,2022-03-14 19:47:50+00:00,False,44,32,376,1,en,False,Twitter for iPhone,99,122,https://t.co/xxy8QnsxAq,https://twitter.com/johnrobertsFox/status/1503446632926433299,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1503162094715555843,Joe Biden should stop negotiating with the leading state sponsor of terror and start holding Iran accountable for its actions. https://t.co/iDNpjDSSar,2022-03-14 00:12:25+00:00,False,311,305,1234,25,en,False,Twitter Web App,127,150,https://t.co/iDNpjDSSar,https://twitter.com/SenTomCotton/status/1503162094715555843/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1503093841246756870,Iran is openly targeting Americans with missile strikes. Sanctions relief for Iran’s terrorist regime should be completely off the table.,2022-03-13 19:41:12+00:00,False,704,263,2951,63,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1503071537485819912,"And I reiterate to Vladimir Putin and his military leaders that the intentional targeting of innocent civilians, including reporters, is a war crime.",2022-03-13 18:12:34+00:00,True,114,161,579,12,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1503071535996837892,"Arkansans are saddened today at the death of Brent Renaud in Ukraine. I join them in expressing deepest condolences to the Renaud family. 
https://t.co/ZLLACNfYv1",2022-03-13 18:12:34+00:00,False,69,68,414,9,en,False,Twitter Web App,139,162,https://t.co/ZLLACNfYv1,https://www.cotton.senate.gov/news/press-releases/cotton-statement-on-death-of-little-rock-native-in-ukraine,NA,NA,NA,NA,NA,NA,NA,NA
SenTomCotton,968650362,1502367587908431874,"An offensive, anti-Semitic attack on Israel. Remember this when Amnesty publishes future “reports” about Israel—it doesn’t believe Israel should have the right to exist.
https://t.co/5SLbrXaTDh",2022-03-11 19:35:20+00:00,False,130,116,307,8,en,False,Twitter for iPhone,170,193,https://t.co/5SLbrXaTDh,https://jewishinsider.com/2022/03/israel-shouldnt-exist-as-a-jewish-state-amnesty-usa-director-tells-democratic-group/,NA,NA,NA,NA,NA,NA,NA,NA
