ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
ChuckGrassley,10615232,1479194066675982340,Jan 6 was a difficult day for those of us who work in the US Capitol &amp; the entire country I was there &amp;experienced it firsthand I believe we need to focus on issues that bring our country together not tear us apart Lots of work 2do,2022-01-06 20:52:02+00:00,False,249,2826,1910,277,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478920068817899529,Biden admin just imposed sanctions on Milorad Dodik 4threatening Serb part of Bosnia secede I wrote Scty Blinken last month to use avail tools incl sanctions 2prevent deterioration of situation in Bosnia Many Iowans came here after suffering during war in90s Cant let happen again,2022-01-06 02:43:16+00:00,False,53,146,265,9,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478874175058108416,"Now more than ever, parents should be their kids’ strongest &amp; best advocates https://t.co/lHIMaC6u33",2022-01-05 23:40:54+00:00,False,59,136,420,13,en,False,Twitter for iPhone,81,104,https://t.co/lHIMaC6u33,https://twitter.com/ChuckGrassley/status/1478874175058108416/video/1,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478806873126182912,"346 police officers shot in line of duty in 2021, 63 lost their lives Ambush attacks on police more than doubled from 2020, w 130 officers shot &amp; 30 losing their lives w no warning DefundThePolice movement is costing us some of our bravest community members&amp; crime is on the rise",2022-01-05 19:13:28+00:00,False,301,459,994,39,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478408881944633354,consumers are seeing high prices at the meat counter While our cattle producers cant get a fair price or a certain day to ship their cattle 2b processed This lack of certainty hurts our food supply chain/farmers are getting robbed by the Big 4 meat packers Time 2 put an end 2this,2022-01-04 16:51:59+00:00,False,129,342,684,35,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478387816459653130,Welcome 2 Pres Biden’s America where our southern border is still a mess bc the admin won’t enforce the law Customs &amp; Border Protection reported over 1.7 M encounters at southern border in FY2021 - highest number on record Numbers from first 2 months of FY22 also up substantially,2022-01-04 15:28:17+00:00,False,125,269,429,17,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478102801251282960,Interviews throughout the day from my dc office to talk about my work for Iowans w KCII Washington + Pocahontas Record Democrat + KCHA Charles City + KFAB Omaha https://t.co/nlkzCL4Gy1,2022-01-03 20:35:44+00:00,False,30,109,208,11,en,False,Twitter for iPhone,161,184,https://t.co/nlkzCL4Gy1,https://twitter.com/ChuckGrassley/status/1478102801251282960/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478091483622301706,Q&amp;A w 27 6th graders at East Middle School in Sioux City issues: my job my edu favorite sport teams my farm etc https://t.co/HeDiH1uxoK,2022-01-03 19:50:45+00:00,False,51,117,534,16,en,False,Twitter for iPhone,116,139,https://t.co/HeDiH1uxoK,https://twitter.com/ChuckGrassley/status/1478091483622301706/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478064941357846533,"“...that seeks to improve price discovery in cattle markets &amp;facilitate actual negotiation of prices btwn livestock producers+packers. We look fwd to working w Congress on these important issues..."" incl ensuring farmers/ranchers hv fair access to processing capacity—WH statement",2022-01-03 18:05:17+00:00,True,7,20,40,0,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478064216959602692,"""The Biden-Harris Administration will also work w Congress to make cattle markets fairer &amp; more transparent. The Admin is encouraged to see bipartisan legislation in the Senate by Senators Grassley, Fischer, Tester, Wyden, +in the House by Representatives Axne and Feenstra...",2022-01-03 18:02:25+00:00,False,15,48,108,7,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1478036834953449472,Pres Biden is mtg w farmers 2day like IA Farm Bureau Pres Brent Johnson to discuss how Big 4 packers screw cattle producers + consumers I’ve long worked to restore competition in cattle market &amp; hope WH urges support of bipartisan Fischer Grassley Tester Wyden cattle market bill,2022-01-03 16:13:36+00:00,False,85,141,382,27,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1477351514108796930,Happy new year to u Pray for peace Be kind to one another,2022-01-01 18:50:23+00:00,False,205,297,1999,25,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1477016882913984512,In 2022 I’ll continue to take on Big Tech Big Cattle Big Pharma &amp; Big Oil Big Tech is a monopoly Big Cattle so Iowa cattle feeders hv fair price BigPharma to keep drug prices affordable BigOil bc it doesn’t like Biofuels,2021-12-31 20:40:41+00:00,False,80,276,600,31,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1476667447667273729,Congratulations to my granddaughter Carrie &amp; Tom on their marriage https://t.co/wOBbqA1bXn,2021-12-30 21:32:09+00:00,False,89,129,2494,9,en,False,Twitter for iPhone,71,94,https://t.co/wOBbqA1bXn,https://twitter.com/ChuckGrassley/status/1476667447667273729/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1476574037790896134,At this time of Biden inflation highest in 39 years get good ideas on saving money by reading wsj 2day “A Master Penny-Pincher Draws Following in Japan” While u do that I’ll keep working to convince Democrats to stop pouring gasoline on inflation fires thru reckless spending,2021-12-30 15:20:58+00:00,False,84,277,372,18,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1476567054950060034,Even tho California is trying to take Iowa’s fine pork away from consumers w their war on breakfast/prop12 join me in celebrating Natl Bacon Day 2day /Iowa is number 1 pork state in the country &amp; we are proud of our quality/delicious products,2021-12-30 14:53:13+00:00,False,276,312,1664,77,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1476277452741693441,Iowa pork won’t b allowed to enter California if Supreme Court doesn’t strike down CA prop 12 law If justices don’t act congress must step up &amp; regulate interstate commerce my EATS bill wld fix Do Californians realize pork prices are abt 2go up even higher just 4 their state??,2021-12-29 19:42:27+00:00,False,133,230,558,33,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1475999855201988612,Sorry 2learn of the passing of Sen Harry Reid Early in our career we worked 2gether to get a taxpayers bill of rights passed Even tho I am ideologically opposite I must say he did a good job representing the interests of Nevada in the US Senate As majority ldr he ran a tight ship,2021-12-29 01:19:22+00:00,False,119,165,994,30,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChuckGrassley,10615232,1475964577271660551,Celebrated Iowa’s 175th bday w the Cedar Falls Rotary Club issues: infrastructure filibuster my cattle transparency bill Grassley-Wyden Rx drug bill etc #99countymeetings https://t.co/mllhU9bV2o,2021-12-28 22:59:11+00:00,False,14,61,125,5,en,False,Twitter for iPhone,171,194,https://t.co/mllhU9bV2o,https://twitter.com/ChuckGrassley/status/1475964577271660551/photo/1,171,194,https://t.co/mllhU9bV2o,https://twitter.com/ChuckGrassley/status/1475964577271660551/photo/1,171,194,https://t.co/mllhU9bV2o,https://twitter.com/ChuckGrassley/status/1475964577271660551/photo/1
