ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
RandPaul,216881337,1506763768767856642,"A million Americans have now died from COVID. For over a year, I’ve petitioned Democrats for a committee investigation into the origins of the virus. To date, Democrats have refused to hold any hearing in the origins of COVID. Shameful.",2022-03-23 22:44:11+00:00,False,1666,724,7687,101,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RandPaul,216881337,1506705462561054728,"I stand by my endorsement of the only liberty conservative in the Alabama Senate race, @MoBrooks. https://t.co/PhTC7ZaLxz",2022-03-23 18:52:30+00:00,False,117,125,559,20,en,False,Twitter for iPhone,98,121,https://t.co/PhTC7ZaLxz,https://twitter.com/club4growth/status/1506675328768434181,NA,NA,NA,NA,NA,NA,NA,NA
RandPaul,216881337,1506696007022788629,Joining @AmericaRpts on @FoxNews in just a moment- be sure to tune in!,2022-03-23 18:14:55+00:00,False,41,93,268,1,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RandPaul,216881337,1506363953072549892,Coming up momentarily on @FoxBusiness with Kudlow!,2022-03-22 20:15:27+00:00,False,36,130,438,2,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RandPaul,216881337,1506322975993352195,"Happy National Agriculture Day to those who feed the world, and more! #NationalAgDay https://t.co/xamZ4g7zov",2022-03-22 17:32:38+00:00,False,153,67,983,4,en,False,Twitter Web App,85,108,https://t.co/xamZ4g7zov,https://twitter.com/RandPaul/status/1506322975993352195/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
RandPaul,216881337,1506245537883955217,We have it in our power to build an economy that serves America’s families and communities rather than our politicians and bureaucrats – to control inflation and unleash innovation and growth.  https://t.co/28lyAy1fKU,2022-03-22 12:24:55+00:00,False,387,216,2051,20,en,False,Twitter for iPhone,194,217,https://t.co/28lyAy1fKU,https://www.foxbusiness.com/economy/washington-end-inflation-crisis-sen-rand-paul-kevin-roberts,NA,NA,NA,NA,NA,NA,NA,NA
RandPaul,216881337,1506042724453130240,Zelenskyy Bans Opposition Parties in Ukraine in Blow to Free Speech – JONATHAN TURLEY https://t.co/1BCwjyV5WQ,2022-03-21 22:59:01+00:00,False,545,522,1734,70,en,False,Twitter for iPhone,86,109,https://t.co/1BCwjyV5WQ,https://jonathanturley.org/2022/03/21/zelenskyy-bans-opposition-parties-in-ukraine-in-blow-to-free-speech/comment-page-1/#comments,NA,NA,NA,NA,NA,NA,NA,NA
RandPaul,216881337,1505951538040262659,"Grateful to have spent this morning with my great friend @2xGameChangers in Louisville talking about @futurehealersky, the @LouisvilleZoo, and the important work they’re doing to help Louisville’s youth affected by violence. #FutureHealer #GotZooBuddies https://t.co/fVO84Z2tm4",2022-03-21 16:56:40+00:00,False,42,50,300,3,en,False,Twitter for iPhone,254,277,https://t.co/fVO84Z2tm4,https://twitter.com/RandPaul/status/1505951538040262659/photo/1,254,277,https://t.co/fVO84Z2tm4,https://twitter.com/RandPaul/status/1505951538040262659/photo/1,254,277,https://t.co/fVO84Z2tm4,https://twitter.com/RandPaul/status/1505951538040262659/photo/1
RandPaul,216881337,1505896004259831811,Say no to war. Say no to “no fly zones.” https://t.co/ycVcLqeEpA,2022-03-21 13:16:00+00:00,False,1327,438,8223,47,en,False,Twitter for iPhone,41,64,https://t.co/ycVcLqeEpA,https://twitter.com/nedryun/status/1504094980880617481,NA,NA,NA,NA,NA,NA,NA,NA
RandPaul,216881337,1504863884313870337,Sign up and get involved in my campaign! https://t.co/8TsTfOaGm1,2022-03-18 16:54:43+00:00,False,73,231,400,5,en,False,Twitter for iPhone,41,64,https://t.co/8TsTfOaGm1,https://randpaul.com/get-involved/,NA,NA,NA,NA,NA,NA,NA,NA
