ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenRickScott,131546062,1481275516837675009,"Inflation just hit 7%…a 40-YEAR HIGH, but all Biden cares about is his radical federal takeover of our elections. 

It’s shameful just how far Democrats will go to put their political power grab over the needs of Americans. https://t.co/ZFkkA8IaA8",2022-01-12 14:42:58+00:00,False,25,74,82,5,en,False,Twitter Web App,224,247,https://t.co/ZFkkA8IaA8,https://www.rickscott.senate.gov/2022/1/sen-rick-scott-on-cpi-inflation-report-democrats-have-turned-their-backs-on-american-families,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1481039735682478086,"Instead of focusing 100% of their attention on completing a radical federal takeover of our elections, @SenateDems should work with us on fixing the issues that really matter to families: skyrocketing inflation, empty shelves &amp; rising crime. https://t.co/0x3s5zOI7r",2022-01-11 23:06:04+00:00,False,64,178,238,14,en,False,Twitter Web App,246,269,https://t.co/0x3s5zOI7r,https://twitter.com/SenRickScott/status/1481039735682478086/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1481025377908764676,Settlers traveling along the Oregon Trail made it to California faster than @SecretaryPete did. https://t.co/ve1DMzt9J8,2022-01-11 22:09:00+00:00,False,15,48,99,2,en,False,Twitter Web App,96,119,https://t.co/ve1DMzt9J8,https://twitter.com/adamwren/status/1480995967822401538,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1481007282985082885,"It’s unfathomable that human trafficking occurs in Florida &amp; across the U.S. – Biden’s border crisis only makes it worse. We must continue working to identify signs of this evil, help rescue victims, protect our most vulnerable &amp; SECURE OUR BORDER. #HumanTraffickingAwarenessDay",2022-01-11 20:57:06+00:00,False,80,106,329,9,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1480995837597659143,Democrats’ attempts to kill the filibuster undermine our democracy &amp; are nothing but a dangerous political power grab to win elections. The Senate must stand firm in support of the filibuster &amp; giving a voice to every American. https://t.co/0L8ZTEOxYW,2022-01-11 20:11:37+00:00,False,52,131,225,10,en,False,Twitter Web App,236,259,https://t.co/0L8ZTEOxYW,https://twitter.com/SenRickScott/status/1480995837597659143/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1480969408734502914,"The truth comes out…Woke @SecCardona asked @NSBAPublicEd to write the letter @TheJusticeDept used to mobilize the FBI to begin treating parents like domestic terrorists.

Cardona should resign. https://t.co/jjjAnlMkTX",2022-01-11 18:26:36+00:00,False,42,50,79,5,en,False,Twitter Web App,194,217,https://t.co/jjjAnlMkTX,https://www.foxnews.com/politics/education-secretary-cardona-solicited-nsba-letter-comparing-parents-domestic-terrorists-email,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1480931831595810820,"Time for a filibuster fun fact! Who said this?

Eliminating the filibuster ""is more about power than fairness."" And ...""I believe some of my colleagues propose this rule change because they can get away with it, rather than because they know it is good for our democracy.""",2022-01-11 15:57:17+00:00,False,16,104,40,6,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1480721786169921538,"The lies keep coming from @SenSchumer. Democrats have turned to baseless fear mongering in their attempt to federalize our elections.

This is nothing but a dangerous power grab by the radical Left. The Senate will act to support democracy by defeating this horrific bill. https://t.co/GmyJrlYL9p",2022-01-11 02:02:38+00:00,False,44,122,120,8,en,False,Twitter Web App,273,296,https://t.co/GmyJrlYL9p,https://twitter.com/SenSchumer/status/1480694941542227969,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1480615222595440642,"Mr. Corey Purinton of Winter Garden, FL was awarded the Carnegie Medal for his incredible heroism in responding to an accident &amp; rescuing a man from a burning vehicle. Florida is proud to be home to this #CarnegieHero (3/3) https://t.co/7zSE1KKwyG",2022-01-10 18:59:12+00:00,True,4,3,29,0,en,False,Twitter Web App,228,251,https://t.co/7zSE1KKwyG,https://www.carnegiehero.org/corey-a-purinton,NA,NA,NA,NA,NA,NA,NA,NA
SenRickScott,131546062,1480615220859084802,"Mr. Kristoff Jaleel Murray was posthumously awarded the Carnegie Medal for his bravery in attempting to rescue a father &amp; son who drowned near Apollo Beach, FL. We pray for his family &amp; offer our gratitude for his final selfless act. (2/3) https://t.co/4vCUh7vinE",2022-01-10 18:59:11+00:00,True,5,5,27,0,en,False,Twitter Web App,248,271,https://t.co/4vCUh7vinE,https://www.carnegiehero.org/kristoff-jaleel-murray/,NA,NA,NA,NA,NA,NA,NA,NA
