ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenMikeLee,88784440,1397570317455962112,Congratulations to former @CCHSFOOTBALL_  QB @JaxsonDart on winning the Gatorade National Football Player of the Year! Your grit on the field and service in the community showcase the best of Utah. #GatoradePOY https://t.co/iGIROFlZ9G,2021-05-26 15:08:23+00:00,False,5,26,20,2,en,False,Twitter for iPhone,211,234,https://t.co/iGIROFlZ9G,https://twitter.com/Gatorade/status/1397559204907466755,NA,NA,NA,NA,NA,NA,NA,NA
SenMikeLee,88784440,1397556877207166982,Bezos. Jeff Bezos. https://t.co/c4RYjXVTPI,2021-05-26 14:14:59+00:00,False,33,96,134,10,ht,False,Twitter Web App,19,42,https://t.co/c4RYjXVTPI,https://twitter.com/AP/status/1397538894929960967,NA,NA,NA,NA,NA,NA,NA,NA
SenMikeLee,88784440,1397320242309877763,"2/2 My amendment would simply prohibit any research funded through the Endless Frontier Act from using fetal tissue obtained from an abortion; and from creating, destroying, discarding, or putting human embryos at risk. #ProLife",2021-05-25 22:34:41+00:00,True,35,60,166,2,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenMikeLee,88784440,1397320092245954560,"1/2 Many Americans do not want to see their taxpayer dollars used to destroy, experiment on, or unethically alter human life. And they should not be forced to. #ProLife https://t.co/tPV1ztwCjK",2021-05-25 22:34:05+00:00,False,65,107,254,9,en,False,Twitter Media Studio,169,192,https://t.co/tPV1ztwCjK,https://twitter.com/SenMikeLee/status/1397320092245954560/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenMikeLee,88784440,1396614017666404353,It’s great seeing Utah sports back in play. What a catch!!! https://t.co/bXpYNSun3M,2021-05-23 23:48:24+00:00,False,29,63,235,2,en,False,Twitter for iPhone,60,83,https://t.co/bXpYNSun3M,https://twitter.com/kendallbaker/status/1396253473390407684,NA,NA,NA,NA,NA,NA,NA,NA
SenMikeLee,88784440,1395776430257184770,"""Lee said sentences must be proportional to the severity of the crime because if they’re not, the criminal justice system loses its sense of legitimacy."" https://t.co/LHOgFdKI9u",2021-05-21 16:20:07+00:00,False,14,96,101,2,en,False,Twitter Web App,154,177,https://t.co/LHOgFdKI9u,https://twitter.com/Deseret/status/1395748715755868162,NA,NA,NA,NA,NA,NA,NA,NA
SenMikeLee,88784440,1395416291842871300,The critical race theory that undergirds the ... proposal does not celebrate diversity; it weaponizes diversity. https://t.co/j4erwtOc61,2021-05-20 16:29:04+00:00,False,118,215,427,31,en,False,Twitter Web App,113,136,https://t.co/j4erwtOc61,https://twitter.com/SenMikeLee/status/1395416291842871300/photo/1,113,136,https://t.co/j4erwtOc61,https://twitter.com/SenMikeLee/status/1395416291842871300/photo/1,NA,NA,NA,NA
SenMikeLee,88784440,1395393918548824070,There is still time to register – see you in 2 hours! https://t.co/DkBlC5lLDp,2021-05-20 15:00:10+00:00,False,11,73,19,2,en,False,Twitter Web App,54,77,https://t.co/DkBlC5lLDp,https://twitter.com/SenMikeLee/status/1395047262070394888,NA,NA,NA,NA,NA,NA,NA,NA
SenMikeLee,88784440,1395126587796897792,My office presented a Congressional Record of recognition to Maj. Gen. Michael J. Turley &amp; the @UTNationalGuard for their service in protecting our nation’s capital &amp; providing relief work during the COVID pandemic. I am thankful for their selfless desire to serve. https://t.co/l5GHYNyP2H,2021-05-19 21:17:53+00:00,False,18,66,75,3,en,False,Twitter Web App,274,297,https://t.co/l5GHYNyP2H,https://twitter.com/SenMikeLee/status/1395126587796897792/photo/1,274,297,https://t.co/l5GHYNyP2H,https://twitter.com/SenMikeLee/status/1395126587796897792/photo/1,274,297,https://t.co/l5GHYNyP2H,https://twitter.com/SenMikeLee/status/1395126587796897792/photo/1
SenMikeLee,88784440,1395107046442344451,"We must stand with our strongest democratic ally in the region by recognizing their right to self-defense against terrorism. Furthermore, U.S. policy ought to strengthen, not undermine, this valued relationship. #StandWithIsrael https://t.co/vj1UcdeGU7",2021-05-19 20:00:14+00:00,False,69,119,349,11,en,False,Twitter Media Studio,229,252,https://t.co/vj1UcdeGU7,https://twitter.com/SenMikeLee/status/1395107046442344451/video/1,NA,NA,NA,NA,NA,NA,NA,NA
