ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenJoniErnst,2856787757,1461419644946948104,"The sacrifices and heroic actions of our WWII @USArmy Rangers, like Lt. Tommy Gwynn, deserve to be recognized with a Congressional Gold Medal.🏅 

We can do just that by getting my bipartisan effort passed in the House and onto @POTUS' desk. https://t.co/o6te86xi9b",2021-11-18 19:42:49+00:00,False,10,7,25,1,en,False,Twitter for iPhone,241,264,https://t.co/o6te86xi9b,https://fox17.com/news/ferrier-files/24-war-wounds-the-storied-career-of-a-102-year-old-us-army-ranger-from-tennessee,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461407445281083396,"Thank you, @RepFeenstra for leading this effort that will help bolster production of #Iowa biofuel—a cleaner, more affordable choice at the pump.⛽️ 
 
Renewable fuels are a clean &amp; reliable energy solution for TODAY. We’ll keep pushing the Biden Admin to recognize this. https://t.co/vum9ZJzgtn",2021-11-18 18:54:21+00:00,False,4,12,22,1,en,False,Twitter for iPhone,275,298,https://t.co/vum9ZJzgtn,https://twitter.com/RepFeenstra/status/1460725872906977286,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461387031397945350,"❌ A gift to Big Oil
❌ Further uncertainty for farmers and biofuel producers
❌ Broken promises by Biden and his Administration https://t.co/fnd5SbdFB9",2021-11-18 17:33:14+00:00,False,8,15,23,6,en,False,Twitter for iPhone,126,149,https://t.co/fnd5SbdFB9,https://financialpost.com/pmn/business-pmn/u-s-epa-proposes-compliance-deadline-extension-for-biofuel-laws,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461378845932757001,"Building a #GWOTMemorial on our National Mall would be a longstanding testament to honor the selflessness of our Global War on Terrorism veterans for generations to come. 🇺🇸
 
Today, we are one step closer to making this a reality. ⤵️ https://t.co/uhHgsxoJ7j",2021-11-18 17:00:42+00:00,False,2,2,15,4,en,False,Twitter for iPhone,235,258,https://t.co/uhHgsxoJ7j,https://www.ernst.senate.gov/public/index.cfm/press-releases?ID=5CFD3608-4198-4782-9CEF-D3EAAE91B8FE,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461354558483955713,"D.C. Democrats want to hand out giveaways to coastal elite millionaires, tax hardworking families, and drive up costs even higher. #TaxAndSpendSpree https://t.co/8FuoUl27E3",2021-11-18 15:24:12+00:00,False,10,54,23,3,en,False,Twitter for iPhone,149,172,https://t.co/8FuoUl27E3,https://twitter.com/SenJoniErnst/status/1461354558483955713/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461341948795629572,".@POTUS had the opportunity to demand answers from President Xi Jinping on Communist China’s nuclear expansion, their ongoing aggression against Taiwan, and the origins of COVID-19.

He failed to do so. https://t.co/ICBEiJphnL",2021-11-18 14:34:05+00:00,False,39,44,62,5,en,False,Twitter Media Studio,203,226,https://t.co/ICBEiJphnL,https://twitter.com/SenJoniErnst/status/1461341948795629572/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461303926079332355,"My office is holding Traveling Office Hours in 4⃣ counties across #Iowa today. To help get your questions answered, and for assistance working with a federal agency, stop by one of the following locations ⤵️ https://t.co/fwtYktOtML",2021-11-18 12:03:00+00:00,False,4,12,13,0,en,False,TweetDeck,208,231,https://t.co/fwtYktOtML,https://twitter.com/SenJoniErnst/status/1461303926079332355/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461144580645085196,"Inflation is the highest we’ve seen in three decades.
 
The Democrats’ solution? Saddle the American people with more taxes &amp; more debt. https://t.co/GIKm3mA3Ml https://t.co/UEcmUf1ktb",2021-11-18 01:29:49+00:00,False,7,32,19,1,en,False,Twitter for iPhone,141,164,https://t.co/GIKm3mA3Ml,https://twitter.com/SenJoniErnst/status/1461144580645085196/photo/1,165,188,https://t.co/UEcmUf1ktb,https://twitter.com/NBCNews/status/1460913871246577664,NA,NA,NA,NA
SenJoniErnst,2856787757,1461122529939107842,"The Biden Administration’s efforts to re-enter the Iran Nuclear Deal put the world at risk.
 
We should be nowhere near re-entering this agreement with the world’s largest state sponsor of terrorism. https://t.co/M1BnW0zn4n",2021-11-18 00:02:12+00:00,False,28,25,65,1,en,False,Twitter for iPhone,200,223,https://t.co/M1BnW0zn4n,https://www.axios.com/us-floats-interim-iran-nuclear-deal-6f808872-010d-4ec8-8a79-f36ab120829b.html,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461112864446590986,"I’m proud to support @ChuckGrassley &amp; his bipartisan effort to create a more transparent, fair process and allow our independent, hardworking #Iowa cattle producers to get the best and most competitive prices for the high quality cattle they raise. https://t.co/tz2Xc1rIRM",2021-11-17 23:23:47+00:00,False,8,13,29,0,en,False,Twitter for iPhone,253,276,https://t.co/tz2Xc1rIRM,https://www.ernst.senate.gov/public/index.cfm/press-releases?ID=F2B422D4-B15B-4B32-9A7A-B5F6816E3457,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461089992248373248,"Nice to have the folks with @IowaSBDC in town to hear about their priorities &amp; discuss my work on @SmallBizCmteGOP to:

✅ Increase access to fed. contracting opps for women &amp; veteran-owned #smallbiz

✅ Strengthen the voices of Iowa’s #smalbiz in the federal rulemaking process https://t.co/E4gAQ9eIy3",2021-11-17 21:52:54+00:00,False,5,11,11,0,en,False,Twitter for iPhone,285,308,https://t.co/E4gAQ9eIy3,https://twitter.com/SenJoniErnst/status/1461089992248373248/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461069051631968263,President Biden needs to push Communist China to come clean on how and where #COVID19 originated. https://t.co/FxL0iaiYWw,2021-11-17 20:29:41+00:00,False,56,36,90,2,en,False,Twitter Media Studio,98,121,https://t.co/FxL0iaiYWw,https://twitter.com/SenJoniErnst/status/1461069051631968263/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461051398074912772,NEW ➡️ I joined @RogerMarshallMD and @SenJohnThune in calling for @USDA Sec. Vilsack to testify before @SenateAgGOP on the supply chain crisis.👇 https://t.co/7YQ59NYvB5,2021-11-17 19:19:32+00:00,False,7,20,36,0,en,False,Twitter for iPhone,145,168,https://t.co/7YQ59NYvB5,https://twitter.com/SenJoniErnst/status/1461051398074912772/photo/1,145,168,https://t.co/7YQ59NYvB5,https://twitter.com/SenJoniErnst/status/1461051398074912772/photo/1,NA,NA,NA,NA
SenJoniErnst,2856787757,1461026548404867082,"As a member of @SenateAgGOP, I’m proud to support a bipartisan effort w/@ChuckGrassley to extend the federal biodiesel tax credit program through 2025.

It was great to discuss this w/@Biodiesel_Media as I continue promoting #Iowa biofuel as a clean &amp; reliable energy solution. ⛽️",2021-11-17 17:40:48+00:00,False,3,19,23,2,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1461012438657257479,"This is unacceptable. America leaves no one behind.

The Biden Administration needs to bring our American citizens home. https://t.co/cgGHhKpTqn",2021-11-17 16:44:44+00:00,False,7,21,31,1,en,False,Twitter for iPhone,121,144,https://t.co/cgGHhKpTqn,https://www.politico.com/newsletters/national-security-daily/2021/11/16/some-americans-wanting-out-of-afghanistan-not-reached-by-state-4-groups-say-495122,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1460990789517991938,"Spoke w/@IowaPoultry &amp; @IowaEggCouncil about some of the challenges they’ve faced during COVID-19, including getting folks back to work.
 
It’s good to see US 🥚 &amp; 🐓 exports increasing! I’ll keep pushing to expand opps. for #Iowa egg &amp; poultry producers. https://t.co/7PSTOO7brL",2021-11-17 15:18:42+00:00,False,4,16,9,0,en,False,Twitter for iPhone,266,289,https://t.co/7PSTOO7brL,https://brownfieldagnews.com/news/us-poultry-and-egg-exports-booming/,NA,NA,NA,NA,NA,NA,NA,NA
SenJoniErnst,2856787757,1460977301634666503,".@SecMayorkas: U.S. evacuation from Afghanistan was “historic.”
 
Make no mistake: Pres. Biden’s rushed exit from Afghanistan was a disaster.
 
❌ Americans were left behind
❌ Brought the Taliban back into power
❌ Made America less safe https://t.co/vjzAXIsWF2",2021-11-17 14:25:07+00:00,False,11,36,39,1,en,False,Twitter Media Studio,236,259,https://t.co/vjzAXIsWF2,https://twitter.com/SenJoniErnst/status/1460977301634666503/video/1,NA,NA,NA,NA,NA,NA,NA,NA
