ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
JohnCornyn,13218102,1501708700309934085,via @NYTimes https://t.co/IXUQqM3gF6,2022-03-09 23:57:09+00:00,False,11,33,21,1,und,False,Twitter for iPhone,13,36,https://t.co/IXUQqM3gF6,https://www.nytimes.com/2022/03/09/us/politics/cluster-munitions-vacuum-bombs-russia-ukraine.html?referringSource=articleShare,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501661653317918730,"“We are on a war footing,” stated Energy Secretary Jennifer Granholm at the CERAWeek by S&amp;P Global energy conference in Houston on Wednesday, calling on oil and natural gas producers to boost supply amid an energy crisis sparked by Russia’s invasion of Ukraine.",2022-03-09 20:50:12+00:00,False,14,60,45,7,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501659593465901058,Which is why we need an all-of-the-above energy strategy https://t.co/QRHyPtw9tm,2022-03-09 20:42:01+00:00,False,16,63,62,2,en,False,Twitter Web App,57,80,https://t.co/QRHyPtw9tm,https://twitter.com/Mark_J_Perry/status/1500491579760562180,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501569976859340804,"""Russia is the world’s third-largest oil supplier, producing around 10 million barrels per day of crude, about half for export. The West imported about 4.3 million bpd in January. The lion’s share of that went to Continental Europe, with the U.S. importing just 200,000 bpd....""",2022-03-09 14:45:54+00:00,True,5,35,15,0,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501569975571689480,"Heard on the Street: Oil cartel producers can open their taps to help balance the market, but it would mean choosing the West over Moscow  https://t.co/7UHFCPKoX7 via @WSJ",2022-03-09 14:45:54+00:00,False,7,53,22,5,en,False,Twitter Web App,139,162,https://t.co/7UHFCPKoX7,https://www.wsj.com/articles/russian-oil-embargo-pushes-opec-to-take-sides-11646771728?st=i4rrv0g5zrrzm17&reflink=desktopwebshare_twitter,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501558595456016395,Austin's music scene blasts out of the pandemic https://t.co/NJAIDE1pZm,2022-03-09 14:00:41+00:00,False,4,28,18,0,en,False,Twitter Web App,48,71,https://t.co/NJAIDE1pZm,https://www.axios.com/local/austin/2022/03/09/austin-music-scene-pandemic-recovery,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501547348501184519,"Woman Hid Moscow Ties While Pushing ‘I Love Russia’ Propaganda, U.S. Says https://t.co/ZCBzVCBKVd",2022-03-09 13:15:59+00:00,False,2,57,14,1,en,False,Twitter for iPhone,74,97,https://t.co/ZCBzVCBKVd,https://www.nytimes.com/2022/03/08/nyregion/russian-agent-putin-propaganda.html?smid=tw-share,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501330575365394432,"Today I joined nearly 150 of my House &amp; Senate colleagues in calling for essential semiconductor funding to address supply chain issues.
 
Funding my CHIPS for America Act will reestablish American leadership in global semiconductor manufacturing.
 
https://t.co/uKfW5IGQpb",2022-03-08 22:54:37+00:00,False,20,45,82,3,en,False,Twitter for iPhone,254,277,https://t.co/uKfW5IGQpb,https://matsui.house.gov/media/press-releases/matsui-mccaul-warner-cornyn-kelly-call-semiconductor-funding-address-supply,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501328690151632900,Good. Now we need to get Trevor home. https://t.co/bdMNKNoeOL,2022-03-08 22:47:07+00:00,False,16,44,62,2,en,False,Twitter for iPhone,38,61,https://t.co/bdMNKNoeOL,https://twitter.com/michaeldamianw/status/1501326845958103043,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501303751130243073,"Ds planning for  shutdown?
“Even if the House votes on the [omnibus] bill before the chamber’s Democrats leave for their policy retreat midday Wednesday, it’s already too late to guarantee the Senate could pass the legislation before funding lapses at midnight Friday.” @politico",2022-03-08 21:08:01+00:00,False,22,97,50,11,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501273688049606660,Hopefully as part of the omnibus https://t.co/0Q0mCaTLaM,2022-03-08 19:08:34+00:00,False,7,20,28,1,en,False,Twitter for iPhone,33,56,https://t.co/0Q0mCaTLaM,https://twitter.com/paigeflink/status/1501269646720348166,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501227837050609665,UK says it will back Poland if decides to send jets to Ukraine https://t.co/Sttf6zj5YK,2022-03-08 16:06:22+00:00,False,10,42,39,0,en,False,Twitter for iPhone,63,86,https://t.co/Sttf6zj5YK,https://www.reuters.com/world/uk/uk-says-it-will-back-poland-if-decides-sends-jets-ukraine-2022-03-08/,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501211352848912392,"President Biden courts Venezuela and the Saudis for oil, but not U.S. or Canadian producers. https://t.co/eyzmLiPX58 via @WSJOpinion",2022-03-08 15:00:52+00:00,False,37,126,110,9,en,False,Twitter Web App,93,116,https://t.co/eyzmLiPX58,https://www.wsj.com/articles/joe-bidens-bizarre-oil-diplomacy-venezuela-nicolas-maduro-russia-vladimir-putin-saudi-arabia-ukraine-11646694275?st=1r5my4t3scqvuj3&reflink=desktopwebshare_twitter,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501202889032744963,"As Russian President Vladimir Putin has violently attacked his democratic neighbor Ukraine, Russian oligarchs have been evading global sanctions by laundering money through gold.

I introduced a bill to close this loophole and stop the sale of blood gold.

https://t.co/Ck97NSEGeX",2022-03-08 14:27:14+00:00,False,155,83,226,13,en,False,Twitter Web App,257,280,https://t.co/Ck97NSEGeX,https://www.cornyn.senate.gov/content/news/cornyn-hassan-hagerty-king-introduce-bill-sanction-purchase-russian-gold,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501202654609002499,"Trevor Reed has been held in a Russian prison with little to no access to health care or communication with his family.
Pres. Biden must do more to free Americans held hostage in Russia &amp; meeting with the Reed family today in TX would be a welcome start.
 
https://t.co/HNEkIs7dpM",2022-03-08 14:26:18+00:00,False,11,46,28,5,en,False,Twitter Web App,261,284,https://t.co/HNEkIs7dpM,https://www.cornyn.senate.gov/content/news/cornyn-calls-biden-meet-trevor-reed%E2%80%99s-family-while-fort-worth,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1501003918117122050,"Biden, on veterans trip to Fort Worth, won’t meet parents of Trevor Reed, Marine jailed in Russia https://t.co/SQSlbnpwZe",2022-03-08 01:16:36+00:00,False,43,83,50,11,en,False,Twitter for iPad,98,121,https://t.co/SQSlbnpwZe,https://www.dallasnews.com/news/politics/2022/03/07/remember-trevor-reed-texans-urge-biden-to-pressure-russia-to-free-him-griner-amid-ukraine-invasion/,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500966695355179008,"People around the world have rallied around Ukraine – offering support in ways big and small.
 
But blatant war crimes and attacks against civilians fleeing for safety prove we must do more to provide Ukraine the resources they need to defend themselves.
 https://t.co/BRtpDTESyY",2022-03-07 22:48:41+00:00,False,12,57,46,4,en,False,Twitter for iPhone,256,279,https://t.co/BRtpDTESyY,https://www.youtube.com/watch?v=5VDI9IWWDzs,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500942108043137025,"As the world stands up to Russia by banning their oil, it seems President Biden wants to make it easier to buy from Venezuela, trading one oil-rich dictator for another.
 
Instead, why don’t we boost production in the U.S., driving job growth &amp; bringing prices down at the pump?",2022-03-07 21:10:59+00:00,False,140,297,583,26,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500907107352289283,"Great meeting today with @SBAList President @marjoriesba to discuss our work to protect the right to life.
 
There’s no doubt that society’s most vulnerable are the most in need of our protection. https://t.co/0Zqrgtks0B",2022-03-07 18:51:54+00:00,False,12,76,53,4,en,False,Twitter for iPhone,197,220,https://t.co/0Zqrgtks0B,https://twitter.com/JohnCornyn/status/1500907107352289283/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500881544252117001,Democrats at an ideological crossroads in Texas https://t.co/mOiOrlDeiV,2022-03-07 17:10:19+00:00,False,26,163,97,10,en,False,Twitter Web App,48,71,https://t.co/mOiOrlDeiV,http://njour.nl/s/716747/?unlock=09BMHX11LRV9JDVM,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500841672049053700,"Russian energy is exempt from the Swift sanctions against some Russian banks, and the Biden administration has declined to impose secondary sanctions against banks that finance Russian energy. The U.S. has imposed those sanctions on Iran and North Korea, and they are effective.",2022-03-07 14:31:53+00:00,True,11,27,31,0,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500841670815928328,A U.S. ban on Russian oil imports is only a distraction from Washington’s failure to employ stronger sanctions against all Russia’s energy exports. https://t.co/euxiLCMeTe via @WSJOpinion,2022-03-07 14:31:53+00:00,False,13,63,65,2,en,False,Twitter Web App,148,171,https://t.co/euxiLCMeTe,https://www.wsj.com/articles/putin-sanction-russia-oil-exports-imports-invasion-ukraine-war-lng-natural-gas-energy-prices-climate-change-midterm-2022-election-11646594027?st=8ogyoazvgwsvyvf&reflink=desktopwebshare_twitter,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500840822715162624,ESG May Be an Antitrust Violation by @GeneralBrnovich https://t.co/mvCqPYClJC via @WSJOpinion,2022-03-07 14:28:31+00:00,False,7,26,20,0,en,False,Twitter Web App,54,77,https://t.co/mvCqPYClJC,https://www.wsj.com/articles/esg-may-be-an-antitrust-violation-climate-activism-energy-prices-401k-retirement-investment-political-agenda-coordinated-influence-11646594807?st=w9eyvw8glcek7o6&reflink=desktopwebshare_twitter,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500820563417350149,Good https://t.co/Ky5kyPe2Vi,2022-03-07 13:08:00+00:00,False,6,66,82,1,en,False,Twitter for iPhone,5,28,https://t.co/Ky5kyPe2Vi,https://www.wsj.com/livecoverage/russia-ukraine-latest-news-2022-03-04/card/japan-will-send-the-ukrainian-military-basic-supplies-VOtpnPjTX2ooK8dqQ8o8,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500636216940765185,via @NYTimes https://t.co/Nttxa7JQx3,2022-03-07 00:55:29+00:00,False,8,44,44,1,und,False,Twitter for iPad,13,36,https://t.co/Nttxa7JQx3,https://www.nytimes.com/2022/03/06/us/politics/us-ukraine-weapons.html?referringSource=articleShare,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500574935860879361,Bob Gates: We need a more realistic strategy for the post-Cold War era https://t.co/DnBecLCDtQ,2022-03-06 20:51:58+00:00,False,7,49,30,4,en,False,Twitter Web App,71,94,https://t.co/DnBecLCDtQ,https://www.washingtonpost.com/opinions/2022/03/03/why-ukraine-should-force-a-total-overhaul-of-our-national-security-strategy/?tid=ss_tw,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500510978672414723,Investigate Russia's covert funding of US anti-fossil fuel groups https://t.co/XKVCBkJgfo,2022-03-06 16:37:50+00:00,False,47,170,136,12,en,False,Twitter Web App,66,89,https://t.co/XKVCBkJgfo,https://thehill.com/opinion/energy-environment/596304-investigate-russias-covert-funding-of-us-anti-fossil-fuel-groups,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500508889330208772,I am sure the PRC appreciates the donation of all this useful financial data from Russia.  Saves them the trouble of stealing it.,2022-03-06 16:29:31+00:00,True,10,23,53,2,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500508888034160642,"Russian Banks to Switch to Chinese Card System after Visa, Mastercard Suspend Operations in Russia https://t.co/U8Q3Mcugca",2022-03-06 16:29:31+00:00,False,26,23,50,4,en,False,Twitter Web App,99,122,https://t.co/U8Q3Mcugca,https://www.nationalreview.com/news/russian-banks-to-switch-to-chinese-card-system-after-visa-mastercard-suspend-operations-in-russia/,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500508316706951172,Now! https://t.co/imYcEd3gMw,2022-03-06 16:27:15+00:00,False,3,23,20,1,und,False,Twitter Web App,5,28,https://t.co/imYcEd3gMw,https://twitter.com/JohnCornyn/status/1500507939156676611,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500507939156676611,Do it https://t.co/e3z9xijfT2,2022-03-06 16:25:45+00:00,False,32,73,163,5,en,False,Twitter Web App,6,29,https://t.co/e3z9xijfT2,https://twitter.com/POLITICOEurope/status/1500441145712812033,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500507705013903361,https://t.co/2oKeLxXfT0 https://t.co/dz3pCSl50B,2022-03-06 16:24:49+00:00,False,6,10,25,2,und,False,Twitter Web App,0,23,https://t.co/2oKeLxXfT0,https://www.cornyn.senate.gov/content/news/cornyn-lend-lease-bill-will-aid-ukraine-face-russian-invasion,24,47,https://t.co/dz3pCSl50B,https://twitter.com/JohnCornyn/status/1500507408094973956,NA,NA,NA,NA
JohnCornyn,13218102,1500507408094973956,"Just as the US and NATO are providing other defensive weapons to Ukraine, we should also provide them airplanes to defend themselves.  This would be like the Lend-Lease program in WWII at a time when the US was officially neutral in Hitler’s war in Europe.",2022-03-06 16:23:38+00:00,False,26,105,110,7,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500504034263932930,"As 8 Russian aircraft are shot down, captured troops condemn invasion https://t.co/NYaG0OKVLe via @MailOnline",2022-03-06 16:10:14+00:00,False,15,30,47,1,en,False,Twitter Web App,70,93,https://t.co/NYaG0OKVLe,https://mol.im/a/10581949,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500501556189450241,"Bravo: Visa, Mastercard suspend operations in Russia over Ukraine invasion https://t.co/AqfqNfXhxn",2022-03-06 16:00:23+00:00,False,7,38,31,3,en,False,Twitter Web App,75,98,https://t.co/AqfqNfXhxn,https://www.reuters.com/business/finance/visa-suspends-operations-russia-over-ukraine-invasion-2022-03-05/,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500483032016375811,"China says it seeks to ‘resolve’ Taiwan question, amid comparisons to Ukraine https://t.co/TWrJ6USsjC",2022-03-06 14:46:47+00:00,False,10,41,23,6,en,False,Twitter Web App,78,101,https://t.co/TWrJ6USsjC,https://www.washingtonpost.com/world/2022/03/05/china-taiwan-ukraine-report/?tid=ss_tw,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500471570346745863,"An officer counts off and puts a hand on your shoulder. “You’re a fire team leader.” He points at the next three people in your rank. “That’s your team.”

There are three people behind you. You’ve never seen them before. They await your command."" 
https://t.co/ITt4cA2qBk",2022-03-06 14:01:14+00:00,True,25,65,125,9,en,False,Twitter Web App,248,271,https://t.co/ITt4cA2qBk,https://www.cosmopolitanglobalist.com/war-101/,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500471568903909380,"Imagine: ""You’re a 22-year-old Ukrainian who has just been handed a Kalashnikov, four magazines of thirty rounds, a helmet, and body armor. Last week you were studying architecture at Kyiv National University.",2022-03-06 14:01:14+00:00,False,111,589,693,119,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500470001320579074,Ukraine Changes Everything by  @DanHenninger https://t.co/4W5PsqwjWF via @WSJOpinion,2022-03-06 13:55:00+00:00,False,7,47,26,2,en,False,Twitter Web App,45,68,https://t.co/4W5PsqwjWF,https://www.wsj.com/articles/ukraine-changes-everything-russia-putin-state-of-the-union-biden-sotu-crime-build-back-better-energy-climate-11646260972?reflink=desktopwebshare_twitter,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500461535507984391,"Nuclear, coal, LNG: 'no taboos' in Germany's energy about-face https://t.co/747fiG6NoC",2022-03-06 13:21:21+00:00,False,8,37,31,1,en,False,Twitter for iPhone,63,86,https://t.co/747fiG6NoC,https://www.reuters.com/business/energy/germany-step-up-plans-cut-dependence-russia-gas-2022-02-27/,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1500217549920911365,Former citizenship chief urges Biden to halt Russian visas https://t.co/StfZDQMdB4 via @washtimes,2022-03-05 21:11:51+00:00,False,16,38,48,7,en,False,Twitter for iPhone,59,82,https://t.co/StfZDQMdB4,https://www.washingtontimes.com/news/2022/mar/5/former-citizenship-chief-urges-biden-halt-russian-/,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1499903373767626752,Remarkable https://t.co/xNTt6xXwtF,2022-03-05 00:23:25+00:00,False,14,54,83,1,en,False,Twitter for iPad,11,34,https://t.co/xNTt6xXwtF,https://twitter.com/JackDetsch/status/1499770470849294352,NA,NA,NA,NA,NA,NA,NA,NA
JohnCornyn,13218102,1499551665296486414,"Today the Senate passed my bill to rename the VA Clinic in San Angelo, Texas.
 
The new name honors Colonel Charles and JoAnne Powell, a couple who epitomized public servants with their active community involvement and his decorated military service.
 
https://t.co/B9cu3tDOWR",2022-03-04 01:05:51+00:00,False,10,58,45,5,en,False,Twitter for iPhone,253,276,https://t.co/B9cu3tDOWR,https://www.cornyn.senate.gov/content/news/cornyn-legislation-rename-san-angelo-va-clinic-passes-senate,NA,NA,NA,NA,NA,NA,NA,NA
