ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenatorRomney,1078693601356509184,1466504485551984645,The NDAA is being held up because @SpeakerPelosi and @SenSchumer are refusing to allow a vote on a provision that prevents Chinese goods made with forced labor from entering the U.S. Now is the perfect time to strike a blow against China's slavery. We can get it done. https://t.co/oNYWBI6AOS,2021-12-02 20:28:10+00:00,False,131,96,554,31,en,False,Twitter Media Studio,269,292,https://t.co/oNYWBI6AOS,https://twitter.com/SenatorRomney/status/1466504485551984645/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1466463003843383297,Livestock producers in Utah and across the country have been severely affected by drought this year–facing elevated and unexpected costs. @usdafsa should ensure these producers are eligible for immediate assistance. https://t.co/btEfAXrvRB,2021-12-02 17:43:20+00:00,False,5,37,35,1,en,False,Twitter Media Studio,216,239,https://t.co/btEfAXrvRB,https://twitter.com/SenatorRomney/status/1466463003843383297/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1466426636539248646,Parents should be able to choose a provider whom they trust to care for their young children. The Democrats' ill-constructed child care proposal––included in their “Build Back Better” plan—would raise costs on middle income families and hamstring parents' ability to choose. https://t.co/pGSuhqpifo,2021-12-02 15:18:49+00:00,False,11,102,90,6,en,False,Twitter Media Studio,275,298,https://t.co/pGSuhqpifo,https://twitter.com/SenatorRomney/status/1466426636539248646/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1466247131535183872,.@MarcoRubio is right: the bill to penalize China’s products made with slave labor—which unanimously passed in the Senate—should now become law. https://t.co/0iNy6llxiL,2021-12-02 03:25:32+00:00,False,344,157,1682,18,en,False,Twitter for iPhone,145,168,https://t.co/0iNy6llxiL,https://twitter.com/SenRubioPress/status/1466236734304407552,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1466180810923413504,It's not the federal government's place to tell parents where they can send their kids for child care—or what curriculum can or cannot be taught at a child care facility. Democrats' partisan child care plan blatantly ignores the best interests of hardworking families. https://t.co/I4lpjbj8sI,2021-12-01 23:02:00+00:00,False,22,138,153,5,en,False,Twitter Media Studio,269,292,https://t.co/I4lpjbj8sI,https://twitter.com/SenatorRomney/status/1466180810923413504/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1466165487243567112,"Future civic leaders will undoubtedly face challenges to democracy, perhaps even more than we’re seeing around the world today. Spent time with a group of impressive high school students visiting Washington from northern Utah to discuss American leadership and responsibility. https://t.co/mweyZfrn8b",2021-12-01 22:01:06+00:00,False,11,28,96,0,en,False,Twitter Web App,277,300,https://t.co/mweyZfrn8b,https://twitter.com/SenatorRomney/status/1466165487243567112/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1466147689884794885,"Democrats say their social spending plan is fully paid for and won't add to inflation.
 
Reality check:
→ It will add $227B to the national debt in year one
→ By 2026 the cumulative debt would be $1T
 
This deficit spending will further increase prices on hardworking families. https://t.co/uU4gSXqTLD",2021-12-01 20:50:23+00:00,False,23,199,106,13,en,False,Twitter Media Studio,278,301,https://t.co/uU4gSXqTLD,https://twitter.com/SenatorRomney/status/1466147689884794885/video/1,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1466132774906175495,Live soon→ I'm joining @BoydMatheson on @kslnewsradio to discuss the Democrats’ current mess in Washington—including the imminent deadlines to raise the debt limit and fund the government. Tune in here: https://t.co/pMwS1NSUDc,2021-12-01 19:51:07+00:00,False,4,42,12,1,en,False,Twitter Web App,203,226,https://t.co/pMwS1NSUDc,http://player.listenlive.co/35861,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1465806201376096262,"In the face of burgeoning competition in global markets, largely from China, it’s critical that the U.S. seize every advantage we have to keep our competitive edge. Met with @Google &amp; Alphabet CEO @sundarpichai to discuss maintaining U.S. leadership in breakthrough technologies. https://t.co/P2M6IAkqAz",2021-11-30 22:13:26+00:00,False,27,37,222,10,en,False,Twitter Web App,284,307,https://t.co/P2M6IAkqAz,https://twitter.com/SenatorRomney/status/1465806201376096262/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenatorRomney,1078693601356509184,1465329159069126665,"The first years of a child's life are critical for development. Our common-sense, bipartisan bill would ensure that Utah’s educational leaders have the necessary resources to more effectively support the early development of our next generation. https://t.co/jD7aePBMOT",2021-11-29 14:37:50+00:00,False,11,17,101,1,en,False,Twitter Web App,246,269,https://t.co/jD7aePBMOT,https://www.romney.senate.gov/romney-casey-introduce-bipartisan-legislation-invest-early-childhood-education-leadership-programs,NA,NA,NA,NA,NA,NA,NA,NA
