ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
AOC,138203134,1444363429213523977,"THAT kind of conversation helps YOU as a normal person understand &amp; bring you in the same convos that we as your Reps are having as we negotiate. 

That empowers you to give your input. &amp; THAT is of so much more service to you than discussing optics or political beefs or whatever",2021-10-02 18:07:31+00:00,True,718,247,9350,25,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444362360983064582,"That’s why it’s so important to discuss this not just in numbers, but in changes to the leg.

Let’s say we bring down $3.5T. We can do that by taxing the rich to offset, cutting universal pre-k, or shortening the funding time.

All can bring outlay down. Which one do you prefer?",2021-10-02 18:03:16+00:00,True,778,260,8318,48,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444361552036081666,"Additionally, changes to a topline number isn’t necessarily shorthand for a conservative or progressive policy either.

Ex: There’s a world where a bigger number over longer time could be a conservative win, or a smaller number over shorter time could be a progressive win.Or not!",2021-10-02 18:00:03+00:00,True,451,45,5953,25,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444360985767301133,"&amp; I suspect it may also be why you see media reflexively centering coverage of these bills on a number instead of what’s actually in them.

The thing is, 1 number doesn’t tell you anything. It doesn’t help you as a normal person understand at ALL how your life could improve.",2021-10-02 17:57:48+00:00,True,756,71,8120,27,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444359389255802885,&amp;that is jarring to both a culture built on corporate lobbying &amp; media struggling to cover this well. That’s why you see knot-twisting headlines attempting to frame a caucus of ~100 members as the problem instead of the conservative handful blocking votes w/ inconsistent demands-,2021-10-02 17:51:27+00:00,True,1293,112,13594,41,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444359220736954368,"The reason a lot of DC insiders are freaking out is bc starting in ‘16/‘18, people started to vote en masse for members who reject corporate $.

Those victories built over time. &amp; while big money still has the upper hand (for now), lobbyists can’t dictate the way they’re used to-",2021-10-02 17:50:47+00:00,False,5042,867,39012,449,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444157802285518849,"You don’t have to take my word for it, either. This was a widely reported thing that one can google in 5 seconds. https://t.co/f0Nw95vmdD",2021-10-02 04:30:25+00:00,True,558,262,5694,27,en,False,Twitter for iPhone,114,137,https://t.co/f0Nw95vmdD,https://www.npr.org/2021/08/13/1027371749/moderate-house-democrats-infrastructure-budget-vote-pelosi,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444154584906309637,"The Speaker didn’t break any promises. The arbitrary date 9 people insisted on was in the Aug rule vote to proceed on a $3.5T bill. That bound $3.5T w/ Sept date. Challenging $3.5 also challenged their date.

That’s ok! Right &gt; rushed. We can still Build Back Better… together!☺️ https://t.co/DQQCSpRVrf",2021-10-02 04:17:38+00:00,False,2061,875,17879,119,en,False,Twitter for iPhone,283,306,https://t.co/DQQCSpRVrf,https://twitter.com/lindsemcpherson/status/1444116067966668803,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444007508981518337,Photo &amp; reporting via @AstoriapostNYC: https://t.co/NkgEccG35f,2021-10-01 18:33:13+00:00,True,202,162,1766,17,en,False,Twitter for iPhone,43,66,https://t.co/NkgEccG35f,https://astoriapost.com/queensbridge-residents-sue-nycha-for-hazardous-living-conditions,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1444004246945468427,"It’s not about the number, it’s about impact.

These are our conditions in NYCHA. No winter heat, black mold, kids poisoned by lead.

Politics-as-usual makes communities like mine politically disposable. “We can do it later” does nothing for them. They deserve details &amp; answers. https://t.co/p91WUn9gKA https://t.co/jOjptf5lys",2021-10-01 18:20:15+00:00,False,1577,887,10351,180,en,False,Twitter for iPhone,284,307,https://t.co/p91WUn9gKA,https://twitter.com/AOC/status/1444004246945468427/photo/1,308,331,https://t.co/jOjptf5lys,https://twitter.com/RiegerReport/status/1443947928838672386,NA,NA,NA,NA
AOC,138203134,1443712181174951936,"Ever notice how “deficit hawks” vote for record-high defense spending, yet claim bills that help people &amp; challenge lobbyists are “too much?”

‘22 Defense Bill = $768 billion/yr
Build Back Better = $350B/yr

Guess which got rubber stamped  &amp; which gets deemed a “spending problem” https://t.co/NVW6rv1fQs",2021-09-30 22:59:41+00:00,False,9025,1953,42157,386,en,False,Twitter for iPhone,289,312,https://t.co/NVW6rv1fQs,https://twitter.com/thehill/status/1443572109142155273,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1443679492095070212,Can I? Yes. Do I want to? No 🥸 https://t.co/b8qzlZZvRZ,2021-09-30 20:49:47+00:00,False,745,607,31754,142,en,False,Twitter for iPhone,31,54,https://t.co/b8qzlZZvRZ,https://twitter.com/itsSaadAmer/status/1443677712963538954,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1443650505956335616,"One under-discussed BIF aspect is the Senators pushing it demanded it be passed unaltered.

As in: House passed its own infra bill &amp; wasn’t allowed to conference or even add amendments to BIF.

Imagine if I demanded everyone + POTUS pass my bill w/0 input or change! Silly, right?",2021-09-30 18:54:37+00:00,False,1403,837,12762,69,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1443364126454071298,"Together indeed, @POTUS! 💪🏽

From Medicare expansion and universal pre-k to climate action and housing/infrastructure investment, we can truly accomplish all this and more when we join our priorities for the betterment of our country. 

It’s time to Build Back Better together. https://t.co/E1LHNjs4Do",2021-09-29 23:56:38+00:00,False,1610,914,13325,111,en,False,Twitter for iPhone,278,301,https://t.co/E1LHNjs4Do,https://twitter.com/JoeBiden/status/1443332006742568967,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440796458270134275,Utterly shameful. https://t.co/yWNKTCVa24,2021-09-22 21:53:39+00:00,False,3932,4316,36063,537,en,False,Twitter for iPhone,18,41,https://t.co/yWNKTCVa24,https://twitter.com/jacobsoboroff/status/1440773834274054150,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440528515137368073,👀 https://t.co/ZAGcQ7AA7e,2021-09-22 04:08:56+00:00,False,718,414,7422,33,und,False,Twitter for iPhone,2,25,https://t.co/ZAGcQ7AA7e,https://twitter.com/JonahFurman/status/1440479143582339080,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440378426188206083,Thank you @CoriBush &amp; @ewarren for leading the way on the Keeping Renters Safe Act. 🏡 🏙 https://t.co/jvwlJsBs6e,2021-09-21 18:12:32+00:00,False,1099,810,9455,61,en,False,Twitter for iPhone,92,115,https://t.co/jvwlJsBs6e,https://twitter.com/therecount/status/1440355845607346178,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440144477616623623,"Stationery squad, assemble! In an organized and pleasing fashion! 🤗✒️✒️✒️ https://t.co/La4PHpIJIG",2021-09-21 02:42:54+00:00,False,751,1077,21390,229,en,False,Twitter for iPhone,74,97,https://t.co/La4PHpIJIG,https://twitter.com/ryanoferguson/status/1439928079665795072,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440077845615710221,"None of this is new. Deal was struck months ago w/House, Sen, WH. It’s how BIF was possible in the 1st place.

If one member’s irrational demand tanks infrastructure, healthcare, &amp; climate for the whole country then maybe that’s the real entitlement reform we should be looking at",2021-09-20 22:18:08+00:00,True,1239,276,10117,45,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440075938872528900,"It was carefully negotiated over months that the only chance the bipartisan bill (BIF) has at passage is if it is voted alongside the Build Back Better Act.

That is bc while BIF has some ok things, it also has a lot of bad things, &amp; Build Back will die if BIF gets passed alone.",2021-09-20 22:10:33+00:00,True,711,192,7078,22,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440075174150225930,"Changing the terms of a deal after it’s done is what one does when trying to tank millions of people’s chances at healthcare, childcare, climate protection, &amp; unions but hope press and public aren’t paying attn so they can evade responsibility and blame others. Don’t fall for it! https://t.co/TA8oBQI468",2021-09-20 22:07:31+00:00,False,4516,868,26793,158,en,False,Twitter for iPhone,285,308,https://t.co/TA8oBQI468,https://twitter.com/billscher/status/1439898756523102212,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440057190593691655,"Some of the options are:

- Ignore/override the parliamentarian. Their determination is not a “ruling,” it is guidance.
- Fire the parliamentarian (GOP did this in ‘01)
- Edit the legislative language &amp; review different paths (this is sometimes doable, sometimes not)",2021-09-20 20:56:03+00:00,True,691,227,6033,41,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440055362359488515,"You know when someone doesn’t want to do something, but they don’t want people to know they don’t want to do it, so they blame someone else? 

That’s the parl for certain Dems who don’t want a $15 wage, paths to citizenship for millions of Americans, etc. But we have options.🕵🏽 https://t.co/58gpUa3qKw",2021-09-20 20:48:47+00:00,False,1464,511,12615,80,en,False,Twitter for iPhone,279,302,https://t.co/58gpUa3qKw,https://twitter.com/804_local/status/1440009286269247491,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440051487376216067,"Would you sign up for a job to get attacked by unvaccinated tourists for $15/hr? For no healthcare but max risk? Most wouldn’t. CEOs lobbying to end PUA should try it.

The pandemic has workers not only asking “is it worth the pay?” but also “is this worth my health &amp; safety?”",2021-09-20 20:33:24+00:00,True,2117,670,18786,122,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440048582766120968,"You can’t force people to work a job that doesn’t pay enough to live.

This isn’t hard. What’s the point in working a $7.25 or even $15/hr job if the childcare needed costs almost as much as one’s paycheck? 

Letting PUA expire was based on fantasy, not data. We must restore it. https://t.co/I4GGMpImv8",2021-09-20 20:21:51+00:00,False,5309,1594,38359,269,en,False,Twitter for iPhone,280,303,https://t.co/I4GGMpImv8,https://twitter.com/livrockeman/status/1440034445164093448,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1440046116486062080,"It doesn’t matter if a Democrat or Republican is President, our immigration system is designed for cruelty towards and dehumanization of immigrants.

Immigration should not be a crime, and its criminalization is a relatively recent invention. This is a stain on our country. https://t.co/PZKYN4WLyj",2021-09-20 20:12:03+00:00,False,5004,2139,25305,421,en,False,Twitter for iPhone,275,298,https://t.co/PZKYN4WLyj,https://twitter.com/SawyerHackett/status/1439976012188692496,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1438914662104551434,Snacks and naps are toddler rights 🪧📢 https://t.co/tAPD7LTGnp,2021-09-17 17:16:03+00:00,False,3307,1627,68438,212,en,False,Twitter for iPhone,38,61,https://t.co/tAPD7LTGnp,https://twitter.com/RepCori/status/1438883441496391691,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1438904020828045313,"I am open to taking a look at SALT and addressing concerns for families put under the squeeze in high cost of living areas.

But a full 100% SALT repeal means major tax breaks for extremely high-net worth individuals and billionaires. Why do that? 🙅🏽‍♀️",2021-09-17 16:33:46+00:00,True,414,628,4048,133,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1438903359000522757,"We should not endorse a full 100% repeal of SALT caps. 

The influence of wealthy lobbyists is bipartisan, and it’s unsurprising that some of the same folks pushing 100% repeal were also the ones trying to derail the entire budget just a few weeks ago.
https://t.co/nXpbtk5Ng0",2021-09-17 16:31:08+00:00,False,783,483,5055,93,en,False,Twitter for iPhone,253,276,https://t.co/nXpbtk5Ng0,https://www.bloomberg.com/news/articles/2021-09-17/salt-break-would-erase-most-of-house-s-tax-hikes-for-top-1,NA,NA,NA,NA,NA,NA,NA,NA
AOC,138203134,1438893343669358592,"The amendments also include one of several measures to crack down on program 1033, which allows US military to transfer weapons and military equipment to local police depts - including items like grenade launchers.

We must stop the militarization of local police departments.",2021-09-17 15:51:21+00:00,True,804,356,6905,58,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
