ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
JoeBiden,939091,1398663242675806212,"Grassroots supporters made it possible for us to pass the American Rescue Plan and start getting our country back on track—but our work is far from over. Please consider chipping in to support Democrats running for office in 2021, 2022, and beyond.
https://t.co/XfbPPFvKr8",2021-05-29 15:31:17+00:00,False,1260,5903,8430,138,en,False,Twitter Web App,249,272,https://t.co/XfbPPFvKr8,https://secure.actblue.com/donate/democratic-fight-fund-may-deadline-2021?refcode=tw_20210529_jb,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1398385137402843137,"Before we took office, the economy added back 60,000 jobs per month. It’s now adding back 500,000 jobs per month.

In fact, we've created 1.5 million jobs—more jobs than have ever been created in the first three months of any president in our nation's history.",2021-05-28 21:06:12+00:00,False,7120,5684,64328,830,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1398335999349035012,"To put it simply, America's coming back. https://t.co/SYN7NZkH91",2021-05-28 17:50:56+00:00,False,1777,2621,17158,351,en,False,Twitter Media Studio,41,64,https://t.co/SYN7NZkH91,https://twitter.com/JoeBiden/status/1398335999349035012/video/1,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1398083579075350528,"This is our moment to rebuild an economy from the bottom up and the middle out—not trickle down.

This is our moment to rebuild an economy that rewards work, not just wealth.

This is our moment to rebuild an economy that works for the backbone of this country.",2021-05-28 01:07:55+00:00,False,4876,3735,43438,514,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1398039819947741185,The Biden economic plan is working. https://t.co/boXNRUWEvi,2021-05-27 22:14:02+00:00,False,1806,2038,15994,240,en,False,Twitter Media Studio,36,59,https://t.co/boXNRUWEvi,https://twitter.com/JoeBiden/status/1398039819947741185/video/1,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1397655816426119173,"Enjoyed meeting with Maria and Dreamers this month. Dreamers are Americans, and we are fighting for them. https://t.co/3Hfa0xNnFN",2021-05-26 20:48:08+00:00,False,1377,1011,11068,148,en,False,Twitter Media Studio,106,129,https://t.co/3Hfa0xNnFN,https://twitter.com/JoeBiden/status/1397655816426119173/video/1,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1397297809410433027,"Across the country, we have failed to properly invest in infrastructure for half a century. The American Jobs Plan will get millions of Americans good-paying union jobs repairing our country’s crumbling infrastructure.

It’s a blue-collar blueprint to rebuild America.",2021-05-25 21:05:32+00:00,False,4526,3646,39160,467,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1396938703109492741,"After meeting with experts and scientists, our administration has set an ambitious goal of having 70% of the U.S. adult population receive at least one dose of vaccine by July 4. 

It’s a big goal, but we are already doing a remarkable job—together, we’ll get through this.",2021-05-24 21:18:35+00:00,False,3983,2500,37689,312,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1396886878045970434,"The American Rescue Plan is helping get us out of this crisis and back on track—but we can’t stop now. 

We must pass the American Jobs Plan to deliver millions of good-paying jobs.",2021-05-24 17:52:39+00:00,False,4152,2554,35739,267,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1396579064777953285,"More than 20,000 pharmacies coast to coast are now offering walk-in vaccinations with no appointment necessary. Find a location near you at https://t.co/EwdQ2dFHwG.",2021-05-23 21:29:30+00:00,False,6781,2003,43387,683,en,False,Twitter Web App,140,163,https://t.co/EwdQ2dFHwG,http://vaccines.gov,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1396140096269824008,"The American Families Plan is a once-in-a-generation investment in the foundations of middle-class prosperity: education, health care, and child care.",2021-05-22 16:25:12+00:00,False,3317,2511,30465,240,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JoeBiden,939091,1395772093422317579,"Folks, let’s beat this virus once and for all. 
🔍 Visit https://t.co/EwdQ2dFHwG
💬 Text your ZIP code to 438829
📞 Call 1 (800) 232-0233

Together, #WeCanDoThis.",2021-05-21 16:02:53+00:00,False,2563,1944,15008,190,en,False,Twitter Web App,56,79,https://t.co/EwdQ2dFHwG,http://vaccines.gov,NA,NA,NA,NA,NA,NA,NA,NA
