ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SenSchumer,17494010,1506782774203719683,Yes he is! https://t.co/zyTnvjZ4KA,2022-03-23 23:59:42+00:00,False,7,14,105,1,en,False,Twitter Web App,11,34,https://t.co/zyTnvjZ4KA,https://twitter.com/PattyMurray/status/1506776924944834560,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506781360438095885,"We confirmed Hector Gonzalez as a federal judge for the Eastern District of New York!

I was thrilled to recommend him to @POTUS.

As an immigrant from Cuba, he was the first in his family to go to college, and over his career he became one of the top attorneys in New York.",2022-03-23 23:54:05+00:00,False,54,20,387,2,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506747705149771781,"It was such an honor to attend the hearing today to hear again directly from Judge Ketanji Brown Jackson on her nomination to the Supreme Court.

She is brilliant, beloved, and belongs on the Court! https://t.co/yvgFUR6cpD",2022-03-23 21:40:21+00:00,False,267,162,2322,12,en,False,Twitter for iPhone,199,222,https://t.co/yvgFUR6cpD,https://twitter.com/SenSchumer/status/1506747705149771781/photo/1,199,222,https://t.co/yvgFUR6cpD,https://twitter.com/SenSchumer/status/1506747705149771781/photo/1,NA,NA,NA,NA
SenSchumer,17494010,1506719342301483008,"Madeleine Albright was one-of-a-kind and first-of-a kind

As a refugee who fled the Nazis and Soviet Communism, she embodied the American dream in rising to become our first female Secretary of State

A titan in American history—her story inspired women and girls across the globe https://t.co/S6N5tYM8sS",2022-03-23 19:47:39+00:00,False,112,48,620,13,en,False,Twitter Web App,281,304,https://t.co/S6N5tYM8sS,https://twitter.com/madeleine/status/1506699712199593985,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506707460727390223,"Judge Ketanji Brown Jackson offered a 13-hour master class on Tuesday of why she deserves to be the 116th Justice on the United States Supreme Court.

She was simply impressive.

And she’s only continuing that today!",2022-03-23 19:00:26+00:00,False,669,418,5567,39,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506702472118779918,"I just took to the Senate floor to take the next step to advance our competitiveness and jobs bill!

The House and Senate need to come together to send this bill to President Biden’s desk, boost manufacturing jobs, shore up supply chains, and lower costs for American families.",2022-03-23 18:40:37+00:00,False,102,89,593,8,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506697845231005703,"The cost of insulin has skyrocketed.

This is a crisis.

The Senate will vote on a bill to fix this. https://t.co/Hhekdnm7qA",2022-03-23 18:22:14+00:00,False,107,109,487,10,en,False,Twitter Web App,101,124,https://t.co/Hhekdnm7qA,https://twitter.com/ReutersPolitics/status/1506445673784303619,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506680310490185728,"12 years ago today—@BarackObama signed the Affordable Care Act into law.

Last year—@POTUS signed the #AmericanRescuePlan to make ACA coverage more affordable than ever.

And now—we're continuing to work to lower health care and Rx costs for the people!",2022-03-23 17:12:33+00:00,False,240,128,1280,16,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506477287646113797,"Insulin costs have been rapidly rising for years, and it’s forcing millions of Americans with diabetes to make impossible decisions.

This is a crisis, and the Senate will vote on a bill to fix this. https://t.co/f0Xh1u18mP",2022-03-23 03:45:49+00:00,False,169,169,739,18,en,False,Twitter for iPhone,200,223,https://t.co/f0Xh1u18mP,https://twitter.com/reuterspolitics/status/1506445673784303619,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506434190459420678,Thank you to these incredible law students from the National Black Law Students Association—including some incredible New Yorkers—for coming to the U.S. Capitol today to support Judge Ketanji Brown Jackson! https://t.co/UvhY8z8IhN,2022-03-23 00:54:33+00:00,False,193,108,1257,9,en,False,Twitter Web App,207,230,https://t.co/UvhY8z8IhN,https://twitter.com/SenSchumer/status/1506434190459420678/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506418447118483457,BIG NEWS: This Senate has now confirmed 50 judges nominated by President Biden to lifetime appointments on the federal bench!,2022-03-22 23:52:00+00:00,False,3068,1106,28923,163,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506343801941544961,"Without action, student loan payments will resume on May 1.

President Biden can act now by using his existing legal authority to #CancelStudentDebt.
https://t.co/mj3ykgWWlH",2022-03-22 18:55:23+00:00,False,189,339,939,26,en,False,Twitter Web App,150,173,https://t.co/mj3ykgWWlH,https://finance.yahoo.com/news/americas-student-debtors-need-clarity-not-an-endless-payment-pause-164011518.html,NA,NA,NA,NA,NA,NA,NA,NA
SenSchumer,17494010,1506333466715201538,"Congress is moving forward with jobs and competitiveness legislation to bring down costs, boost manufacturing jobs, fix supply chain bottlenecks, and address semiconductor chip shortages.

We will keep working to pass this bill to fuel scientific research and innovation!",2022-03-22 18:14:19+00:00,False,87,108,452,8,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
