ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
SpeakerPelosi,15764644,1454215095618351104,"It is now crucial that every eligible American – especially children ages five to eleven – get vaccinated as quickly as possible, so that we can finally put an end to this pandemic. Read my full statement here: https://t.co/MDiz1jtioa",2021-10-29 22:34:31+00:00,True,207,298,1007,20,en,False,Twitter Web App,211,234,https://t.co/MDiz1jtioa,https://www.speaker.gov/newsroom/102921,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1454215094552965140,"Getting our children vaccinated is the best way to ensure their health and safety, so they can go to school, spend time with their families and engage in our communities with the confidence of knowing they are protected from this vicious virus.",2021-10-29 22:34:31+00:00,True,204,707,1265,14,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1454215093286232066,"Thanks to Democrats’ leadership with the #AmericanRescuePlan, and @POTUS forward-thinking actions last week, families in every community across the country will have free and convenient access to the vaccine for their children.",2021-10-29 22:34:30+00:00,True,110,66,687,1,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1454215091876945922,"Today is a momentous day in the fight against the COVID pandemic, with the FDA’s first emergency use authorization of a coronavirus vaccine for children 5-11 years old.",2021-10-29 22:34:30+00:00,False,1038,1104,7236,85,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1453785813003735040,Join me live at the U.S. Capitol for my weekly press conference. https://t.co/WBn32jR4sv,2021-10-28 18:08:42+00:00,False,226,804,927,41,en,False,Twitter Media Studio,65,88,https://t.co/WBn32jR4sv,https://twitter.com/i/broadcasts/1MnGnkBwWNNJO,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1453736839353827340,"As we commemorate this anniversary, let us vow to continue to tear down barriers to justice, root out hatred wherever it takes hold and build a fairer future for generations to come. Read my full statement here: https://t.co/3kc82W3YoI",2021-10-28 14:54:06+00:00,True,133,126,734,9,en,False,Twitter for iPhone,212,235,https://t.co/3kc82W3YoI,https://www.speaker.gov/newsroom/102821,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1453736836535185423,"There remains more work ahead to finally end the scourges of racism, homophobia, transphobia and bigotry. While the dark forces of hate threaten to turn back the clock on hard-won civil rights, Democrats are proudly carrying on the fight for liberty and justice for all.",2021-10-28 14:54:05+00:00,True,186,179,966,15,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1453736833125269512,"12 years ago, our nation made historic progress when the Matthew Shepard and James Byrd, Jr. Hate Crimes Prevention Act became law: ensuring justice for the millions of Americans at risk of violence simply for who they are, where they are from, how they pray or who they love.",2021-10-28 14:54:04+00:00,False,454,279,2506,30,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1453719448662196226,It’s an honor to welcome @POTUS back to the United States Capitol this morning as we continue our work to #BuildBackBetter For The People. https://t.co/SNCGs9WYhw,2021-10-28 13:45:00+00:00,False,1216,2018,10764,166,en,False,Twitter Media Studio,139,162,https://t.co/SNCGs9WYhw,https://twitter.com/SpeakerPelosi/status/1453719448662196226/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
SpeakerPelosi,15764644,1453376411104956418,"Each day, let us pledge to build a future where every American can live in peace — safe from gun violence and free of antisemitism, bigotry and hate. Read my full statement here: https://t.co/WZxgO7AI27",2021-10-27 15:01:53+00:00,True,148,133,657,10,en,False,Twitter Web App,179,202,https://t.co/WZxgO7AI27,https://www.speaker.gov/newsroom/102721,NA,NA,NA,NA,NA,NA,NA,NA
