ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
EWarren,357606935,1494781031706247172,"Right now, Americans waste an average of 11 hours and $200 on their tax returns. But the IRS actually has a whole lot of that data already. My Tax Filing Simplification Act would let people plug in that IRS data in minutes—not hours—and get on with their lives.",2022-02-18 21:09:04+00:00,False,5039,1534,42514,623,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1494742731922583554,"Republicans want to talk about inflation morning, noon, &amp; night. But they don’t want to field a full team at the Fed, or help get the pandemic under control, or lower basic costs for families like child care &amp; prescription drugs. Talk is cheap. Help out, or get out of the way.",2022-02-18 18:36:52+00:00,False,3062,904,12557,183,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1494688756472950790,The pandemic has been a punch in the gut to our seafood industry. I’m happy that we’re delivering this support for a critical piece of our Massachusetts economy. https://t.co/I5CWtbwrAl,2022-02-18 15:02:24+00:00,False,73,50,458,5,en,False,Twitter Web App,162,185,https://t.co/I5CWtbwrAl,https://www.masslive.com/news/2022/02/elizabeth-warren-ed-markey-support-11-million-grant-for-massachusetts-seafood-industry.html,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1494451198677688326,"I’ve fought to hold for-profit fraudsters accountable for scamming students, and this is a big step forward from the Biden-Harris administration after Betsy DeVos dragged her feet on giving relief. Next, let’s #CancelStudentDebt for tens of millions.
https://t.co/slrhuVImUZ",2022-02-17 23:18:25+00:00,False,208,135,1341,15,en,False,Twitter Web App,251,274,https://t.co/slrhuVImUZ,https://www.cnn.com/2022/02/16/politics/biden-for-profit-student-loan-debt-forgiveness/index.html,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1494412739510423557,"Another day, another poll showing that the vast majority of Americans support canceling student debt—including 75% of people who’ve had student loans before, and 55% of those who haven’t. #CancelStudentDebt https://t.co/QVim6F7N97",2022-02-17 20:45:36+00:00,False,666,298,3367,44,en,False,Twitter Web App,207,230,https://t.co/QVim6F7N97,https://twitter.com/NavigatorSurvey/status/1494313960333533187,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1494375653256400899,"As a young mom, I came about an inch away from having to quit my job because of child care, but then my Aunt Bee moved in and rescued me. I asked people to share their own stories. Responses poured in. Here’s one reminder of why we fight for universal child care—more to come: https://t.co/xSRI89rXo3",2022-02-17 18:18:14+00:00,False,234,137,1547,16,en,False,Twitter Web App,277,300,https://t.co/xSRI89rXo3,https://twitter.com/ewarren/status/1494375653256400899/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1494322381141123082,"Families need relief. I won’t stop fighting until Congress puts quality, affordable child care within reach for every family.
https://t.co/WWPHA0Xyck",2022-02-17 14:46:33+00:00,False,134,60,891,9,en,False,Twitter Web App,126,149,https://t.co/WWPHA0Xyck,https://www.marketwatch.com/story/child-care-costs-are-outpacing-inflation-the-average-cost-of-daycare-for-infants-now-exceeds-in-state-college-tuition-fees-11644867995,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1494074858333999108,Here’s the way I see it: No one should have to wonder whether Congress is making decisions based on what’s best for the country or what’s best for lawmakers’ finances. It’s time to ban members of Congress from owning &amp; trading individual stocks—and I’ve got a plan for that.,2022-02-16 22:22:59+00:00,False,1444,933,10891,109,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493996716881760265,"Our Schedules That Work Act &amp; Part-Time Worker Bill of Rights Act would make it easier for hourly workers to arrange child care, go back to school, &amp; build some economic security. Let’s put more power in the hands of working people, where it belongs.
https://t.co/vR2ordNX57",2022-02-16 17:12:29+00:00,False,117,42,647,8,en,False,Twitter Web App,259,282,https://t.co/vR2ordNX57,https://fortune.com/2022/02/14/elizabeth-warren-rosa-delauro-legislation-to-protect-part-time-workers/,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493968534673793034,"Health care is a basic human right, and we fight for basic human rights.",2022-02-16 15:20:29+00:00,False,975,474,9058,52,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493717709275779075,"Take a look at who supports canceling student debt:

📈 61% of voters without a college degree
📈 58% of voters who don’t have student debt
📈 57% of voters over 45

President Biden can make it happen with one stroke of the pen. #CancelStudentDebt 
https://t.co/etIrTdIzno",2022-02-15 22:43:48+00:00,False,600,319,2791,48,en,False,Twitter Web App,246,269,https://t.co/etIrTdIzno,https://protectborrowers.org/new-poll-more-than-6-in-10-voters-want-biden-to-cancel-student-debt/,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493674051910447116,"This historic amount of federal funding will create jobs, help clean up the air and fight climate change by replacing diesel buses with electric buses, and make our transit system work better—which makes our whole economy work better.
https://t.co/LyLJ0MTkiX",2022-02-15 19:50:19+00:00,False,101,56,515,4,en,False,Twitter Web App,235,258,https://t.co/LyLJ0MTkiX,https://www.wcvb.com/article/state-leaders-to-highlight-infrastructure-investments-through-new-federal-funding/39071611#,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493607472971583495,"Child care is not a luxury. It’s a basic building block for working families and our whole economy. As a nation, we’ve got to recognize that—and invest in it.",2022-02-15 15:25:46+00:00,False,1214,421,10064,69,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493348725183365121,"It’s appalling, and it’s nothing new: Working people are paying the price for corporate greed.
https://t.co/iZAZOMkg25",2022-02-14 22:17:35+00:00,False,762,364,2973,55,en,False,Twitter Web App,95,118,https://t.co/iZAZOMkg25,https://www.businessinsider.com/how-measure-inflation-raise-prices-corporate-profits-supply-chain-2022-2,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493288262680600582,"I remember my mother with these heart-shaped cakes, and I fight for medical research funding and health care as a basic human right so more people can live longer, healthier lives and celebrate more birthdays with their loved ones.",2022-02-14 18:17:20+00:00,True,88,16,1365,2,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493288261791453188,"Today, it’s no longer considered just a “man’s disease,” and doctors do a much better job screening and treating women for cardiovascular disease than they did when my mother had her heart attack.",2022-02-14 18:17:20+00:00,True,70,14,1008,0,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWarren,357606935,1493288260839297028,"After my mother died of a massive heart attack, the doctors realized that she’d had advanced heart disease—never diagnosed, never treated, even though she got regular check-ups. Later, I would learn that heart disease is the #1 killer of women.",2022-02-14 18:17:19+00:00,True,61,6,775,1,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
