ScreenName,AuthorID,TweetID,Text,TweetDate,isReply,RetweetCount,ReplyCount,LikeCount,QuoteCount,Language,PossibleSensitive,Source,1stURLStart,1stURLEnd,1stURL,1stURLExp,2ndURLStart,2ndURLEnd,2ndURL,2ndURLExp,3rdURLStart,3rdURLEnd,3rdURL,3rdURLExp
PeteButtigieg,226222147,1322181905442349056,The GOP's strategy of voter suppression is clear. We can't and won't let them get away with it. https://t.co/4bAb3xWZPR,2020-10-30 14:21:45+00:00,False,1883,273,15385,122,en,False,Twitter Web App,96,119,https://t.co/4bAb3xWZPR,http://iwillvote.com,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321961021385383937,Today’s GOP has become the party of minority rule.,2020-10-29 23:44:03+00:00,False,5836,3085,66839,742,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321931846519762944,"Fellow Midwesterners: this is what the president actually thinks of “flyover country.” 

He’ll see our response next week. https://t.co/RSssmsZqkO",2020-10-29 21:48:07+00:00,False,3875,598,25721,302,en,False,Twitter for iPhone,123,146,https://t.co/RSssmsZqkO,https://twitter.com/BrianKarem/status/1321611708880900096,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321931050226995200,Was proud to back Joe in 2018 as he beat all expectations and won this seat. Eager to see him re-elected so he can continue to bring common sense to DC in service of South Carolina’s Lowcountry. https://t.co/KnkclYDX55,2020-10-29 21:44:57+00:00,False,427,51,3084,8,en,False,Twitter for iPhone,195,218,https://t.co/KnkclYDX55,https://twitter.com/JoeCunninghamSC/status/1321786997774655489,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321917189260279808,"I'm in Florida today talking with people about their plan to vote for @JoeBiden and @KamalaHarris.

What's your plan to vote? https://t.co/H2YSz9Zedr",2020-10-29 20:49:52+00:00,False,3379,1466,45828,348,en,False,Twitter Web App,126,149,https://t.co/H2YSz9Zedr,https://twitter.com/PeteButtigieg/status/1321917189260279808/photo/1,126,149,https://t.co/H2YSz9Zedr,https://twitter.com/PeteButtigieg/status/1321917189260279808/photo/1,126,149,https://t.co/H2YSz9Zedr,https://twitter.com/PeteButtigieg/status/1321917189260279808/photo/1
PeteButtigieg,226222147,1321848693478350849,".@JoeBiden doesn't have to guess what is on military families' minds, because the Bidens are a military family. 

Tune in live for a press conference with veterans and military families in Florida. https://t.co/CEKDKVgssK",2020-10-29 16:17:41+00:00,False,1112,151,8428,43,en,False,Twitter Media Studio,198,221,https://t.co/CEKDKVgssK,https://twitter.com/i/broadcasts/1RDGlryllRMxL,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321804807909318662,"It's almost unbelievable this has to be said, but a President @JoeBiden will not go silent when Putin puts a bounty on our troops.",2020-10-29 13:23:18+00:00,False,17173,5440,123303,2046,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321625374611116035,"Some folks are born, silver spoon in hand 
Lord, don't they help themselves

But when the taxman come to the door...

//

It ain't me, it ain't me

I ain't no millionaire's son, no no https://t.co/FcQSg8k6qE",2020-10-29 01:30:18+00:00,False,9500,1901,78204,1136,en,False,Twitter for iPhone,184,207,https://t.co/FcQSg8k6qE,https://twitter.com/realDonaldTrump/status/1321314892150935552,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321614388558745600,"Trump's rallies are a metaphor for how he views his own supporters. Happy to have them cheer for him, only to leave them out in the cold. https://t.co/ofhRNkZnca",2020-10-29 00:46:39+00:00,False,10329,2747,70616,2099,en,False,Twitter Media Studio,138,161,https://t.co/ofhRNkZnca,https://twitter.com/PeteButtigieg/status/1321614388558745600/video/1,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321563017994244104,Vote like it's our last good shot to finally take action on climate before it's too late—because it is. https://t.co/jUZLMXX2ID,2020-10-28 21:22:31+00:00,False,1500,201,9320,128,en,False,Twitter for iPhone,104,127,https://t.co/jUZLMXX2ID,https://twitter.com/ClimatePower/status/1321481861164494848/video/1,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321558084569935872,"Over 75 million Americans have voted so far, and tens of millions more will even before Tuesday. I'll be talking with @marthamaccallum on Fox News tonight at 7:30pm ET about the energy and excitement I'm seeing on the campaign trail for @JoeBiden and @KamalaHarris.",2020-10-28 21:02:55+00:00,False,2940,775,31065,337,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321476221587333126,"These people, the ones in charge of keeping you and your loved ones physically safe, have no concept of their own responsibility. https://t.co/QnfMOv12SP",2020-10-28 15:37:37+00:00,False,5576,914,31160,582,en,False,Twitter Web App,130,153,https://t.co/QnfMOv12SP,https://twitter.com/therecount/status/1321435418987024384,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321475800122667010,This breathtaking level of denial is demolishing the credibility of the presidency and of our entire country. And it is destroying lives. https://t.co/G2rbsZrlzk,2020-10-28 15:35:57+00:00,False,1782,317,11378,141,en,False,Twitter Web App,138,161,https://t.co/G2rbsZrlzk,https://twitter.com/therecount/status/1321432258063048704,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321468950744600577,"Serving overseas, I knew that the world's respect for the flag on my shoulder was part of what kept me safe. Now that respect is plummeting.  

America must be able to keep our word—and with @JoeBiden as president, we will restore America's credibility.",2020-10-28 15:08:44+00:00,False,4618,378,35902,261,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321457358862778368,"Storytelling, real or fictional, can be such a powerful tool to help people expand their view.

On this week's podcast, I had a great conversation with @jonmchu, a visionary director, a great storyteller who has a fascinating and important story of his own. https://t.co/iX7Q4syNW1",2020-10-28 14:22:40+00:00,False,207,32,1795,15,en,False,Twitter Media Studio,258,281,https://t.co/iX7Q4syNW1,https://twitter.com/PeteButtigieg/status/1321457358862778368/video/1,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321432232037437440,"Quick haircut to start the day. The president’s tax returns have me wondering: since I’m going on @jimmyfallon tonight, is the $16 tax-deductible? https://t.co/tUmNz5HdMY",2020-10-28 12:42:49+00:00,False,3571,2404,68495,757,en,False,Twitter for iPhone,147,170,https://t.co/tUmNz5HdMY,https://twitter.com/PeteButtigieg/status/1321432232037437440/photo/1,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1321228132616183809,"Voter suppression is page one of the GOP's playbook. 

But you can help us overcome their efforts to disenfranchise in Wisconsin.

Call voters today: https://t.co/nzuvEHP3Pf 
Please chip in if you can: https://t.co/mRqB7nCPQW https://t.co/VtcgQoDxvE",2020-10-27 23:11:48+00:00,False,1024,172,4629,49,en,False,Twitter Web App,150,173,https://t.co/nzuvEHP3Pf,http://wisdems.org/talktovoters,202,225,https://t.co/mRqB7nCPQW,http://wisdems.org/SCOTUS,202,225,https://t.co/mRqB7nCPQW,http://wisdems.org/SCOTUS
PeteButtigieg,226222147,1321219162916687874,This says it as clearly as I’ve seen. #AmericaNeedsMichigan https://t.co/MaX4Gv3E1k,2020-10-27 22:36:10+00:00,False,11360,849,43757,2556,en,False,Twitter for iPhone,60,83,https://t.co/MaX4Gv3E1k,https://twitter.com/donwinslow/status/1321206419387863041/video/1,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320881382378397696,"In 2016 they didn't even permit a hearing, let alone a vote. 

They have surrendered all standing ever again to speak of such things as ""norms.""",2020-10-27 00:13:57+00:00,False,17177,1836,119637,1325,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320879568601886722,Vote them out.,2020-10-27 00:06:44+00:00,False,23759,3707,191144,2716,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320859771747082246,"I know this is the year we can retake the Texas House—and @AkilahBacy, @BucyForTexas, @NataliforTexas, @LorenzoForTexas, and @CelinaForTexas are among the ones who are going to help us do it.
https://t.co/JjcNoG5s8k",2020-10-26 22:48:04+00:00,False,435,93,3860,40,en,False,Twitter Web App,192,215,https://t.co/JjcNoG5s8k,https://www.nytimes.com/2020/10/25/us/politics/texas-house-democrats-republicans.html,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320852793138286592,"Good to see Japan taking action, but America should have been the first to show leadership toward this ambitious goal. 

With Joe Biden as president, we won't be playing catch-up on climate action. https://t.co/39XtnpWHSA",2020-10-26 22:20:20+00:00,False,999,129,11249,84,en,False,Twitter Web App,198,221,https://t.co/39XtnpWHSA,https://www.nytimes.com/2020/10/26/business/japans-carbon-neutrality.html?action=click&module=News&pgtype=Homepage,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320824873497886730,"When Donald Trump said his health care plan is “like nothing you’ve ever seen before” he was half right; we still haven't seen it. It's been ""two weeks"" away for years.",2020-10-26 20:29:24+00:00,False,15499,1577,108320,1315,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320789811020632066,"Coloradans, make sure to vote yes on the National Popular Vote if you agree with the majority of Americans who believe that every vote should count equally and the one with the most votes ought to win the presidency. https://t.co/iN4GviA5Ag",2020-10-26 18:10:04+00:00,False,2559,346,18431,203,en,False,Twitter Web App,217,240,https://t.co/iN4GviA5Ag,https://twitter.com/Yes_on_NPV/status/1315783260266541056,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320509041920086019,"After watching the #Debates2020, I hope everyone can see why all of us from the primary are so enthusiastically supporting our friends @JoeBiden &amp; @KamalaHarris. https://t.co/Rf4TCdoeus",2020-10-25 23:34:24+00:00,False,4229,427,27050,525,en,False,Twitter for iPhone,166,189,https://t.co/Rf4TCdoeus,https://twitter.com/JoeBiden/status/1320372291486662656/video/1,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320479895584231426,"With #Prop15, Californians have the chance to ensure the wealthiest corporations pay their fair share for schools &amp; vital services like health care, while simultaneously lowering the tax burden for homeowners and small businesses. Vote #YesOn15 today. https://t.co/8CC57HomGr",2020-10-25 21:38:35+00:00,False,593,136,4802,47,en,False,Twitter Web App,256,279,https://t.co/8CC57HomGr,http://yes15.vote/MayorPeteSCF,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320397249780875267,Join @CoryBooker and me for a grassroots fundraiser later today. Please chip in any amount to RSVP: https://t.co/lQtqAeFfQo,2020-10-25 16:10:10+00:00,False,412,96,3367,29,en,False,Twitter Web App,100,123,https://t.co/lQtqAeFfQo,https://secure.actblue.com/donate/booker-win-the-era?refcode=pbtweet2,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320369630523871234,"Single digits.   

Voting season ends soon. Make a plan, and if you've voted, make a plan to make sure everyone you know has a plan.  

Let's stay motivated and focused.",2020-10-25 14:20:25+00:00,False,4366,319,42224,265,en,False,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320363299914076162,"This is the White House, in charge of keeping us safe. 

Their strategy? Surrender.  

https://t.co/IO5FJcYpaN",2020-10-25 13:55:16+00:00,False,8285,2090,38493,1646,en,False,Twitter for iPhone,87,110,https://t.co/IO5FJcYpaN,https://twitter.com/atrupar/status/1320353720132128768/video/1,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320037664175935488,"The debate this week might have been a little calmer, but that just made the difference between the two candidates even more clear.
https://t.co/erfSLz0PJ3",2020-10-24 16:21:18+00:00,False,1238,362,19600,126,en,False,Twitter Web App,132,155,https://t.co/erfSLz0PJ3,https://www.elle.com/culture/career-politics/a34456376/pete-buttigieg-trump-biden-debate-2020/,NA,NA,NA,NA,NA,NA,NA,NA
PeteButtigieg,226222147,1320004812939890689,"The first rule of economics during a pandemic is you’ve got to fix the pandemic before the economy can get better. 

@JoeBiden understands this—but Donald Trump still does not.",2020-10-24 14:10:46+00:00,False,17427,1942,112934,1749,en,False,Twitter Web App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
